Ids,areas,begins,names
GPlates-1cf36e7f-1a81-413f-a7f0-26d2bb47032e,700174.8652666792,259.0,Emeishan
GPlates-c367c135-a300-4066-8519-617cf6421e4d,1143851.4161610897,374.0,Vilyui
GPlates-5d5cda44-30b4-4485-94a0-832b2eb98435,3537346.091826384,511.0,Kalkarindji
GPlates-b1ad8bf8-81b5-4223-9750-15bbb6f98c93,420369.1684379386,360.0,Magdalen
GPlates-8f76b126-fcdd-435e-94d5-202a39aff731,5916156.200982321,380.0,Kola-Dnieper
GPlates-380187b9-620e-480e-99df-94196c58a1a1,180759.2575263077,535.0,Wichita
GPlates-fd3315f0-fb02-40e3-add1-cd493bead617,154881.1325413733,290.0,Tarim
GPlates-f6ad7dfa-3e85-43bc-a5b1-e97519b7c908,159518.76075162907,580.0,CIMP - A
GPlates-7a9c9b53-b42a-4ea3-942e-e047dfbdeb01,83892.13895485706,615.0,CIMP - B
GPlates-aef1cd41-4742-42dc-aff1-49552d0c1a2e,8952.205740010619,580.0,CIMP - A
GPlates-cc5f6361-9e6a-497c-8e93-7a5ae6a874c4,14511.174416805288,615.0,CIMP - B
GPlates-ede15556-39b4-41f9-b7ec-97410e6febc9,59625.68764983788,615.0,CIMP - B
GPlates-6b9cc2f1-fa80-4b85-8b3f-5f423cf14517,14158.748464236753,580.0,CIMP - A
GPlates-ca53d91e-6e5a-4cc2-83f0-4e2ac4d161e0,4335501.794245696,201.0,CAMP
GPlates-c984de06-4437-403a-ae60-153f5ee2e220,5419266.357012622,201.0,CAMP
GPlates-97fe78f2-706d-4637-902c-1fd0eb787786,1344758.732693104,201.0,CAMP
GPlates-6c276a36-63ae-4538-a813-6e6bdfc06d14,213760.3436630473,201.0,CAMP
GPlates-d0116b94-48d5-451c-b98b-b485c23db501,13927.30115539356,201.0,CAMP
GPlates-39c95940-6191-430c-b205-66928d35c600,3155142.766970503,183.0,Karoo
GPlates-7197bbaa-df78-4015-a1ee-52a71324c92e,613533.6941764653,90.0,Madagascar
GPlates-f5cd4ad6-99ba-4f85-8f22-50cd6b94f938,29782.932475036978,140.0,Trap
GPlates-0888f6df-64f2-4426-ba07-d5447e239ff8,91886.68784476265,183.0,Ferrar
GPlates-6edc8d23-f3f7-4dc7-b5a9-76fbe7d75553,63059.44880385186,183.0,Ferrar
GPlates-06683922-ef43-4603-9eba-d4a07811684e,24719.081707860834,183.0,Ferrar
GPlates-9536717c-f5b3-4b81-b0b9-e2445f6248aa,674508.6083101439,16.0,Columbia River
GPlates-e1764035-ed2b-45fd-bf15-2a97faec5380,692811.4306497849,66.0,Deccan
GPlates-cd3c34aa-c12d-4569-ad05-3f239be5e119,252684.46902721847,62.0,NAIP
GPlates-d37970ac-7668-42cd-8b3f-42e2f7847593,61035.491563888725,570.0,Ouarzazate
GPlates-ecced9b8-a352-48fc-80f2-f8d32fec41d1,3457258.0104984115,252.0,Siberia
GPlates-92d3c5a1-321f-4c4a-8821-8ee96e624757,198337.33355456838,290.0,Tarim
GPlates-292c7c57-b3c7-4fda-8c6d-6cdd2402d27f,654692.8683266379,131.0,EQUAMP
GPlates-e20844d2-9bb0-4756-b869-7f17c58092ea,66182.38868568037,283.0,Qiangtang
GPlates-4953c267-8df4-4695-952c-de864e3b630b,44364.69316097908,283.0,Panjal
GPlates-22b4e6b6-2a9a-48c0-9daf-2a7eaf7bf537,25192.882974217282,94.0,Caribbean-Colombian
GPlates-3963f42b-7284-4d97-9f59-fb9db079c91b,8757.87068121878,94.0,Caribbean-Colombian
GPlates-9e82f0f1-5dc0-4d38-970e-c66f67a425fc,5930.096575126086,94.0,Caribbean-Colombian
GPlates-482613d2-78ff-4c51-a02c-a78a09aff7cf,245810.501884569,94.0,Caribbean-Colombian
GPlates-decdcbb2-d445-4bc0-81c2-757fd5d2d06f,4952.425110632854,94.0,Caribbean-Colombian
GPlates-9d724e5b-a19d-4b70-b02e-3d24018fe29a,46418.23357432163,94.0,Caribbean-Colombian
GPlates-6ca7d6b4-f86e-448b-a9ef-5253f59f6969,56561.87755027744,94.0,Caribbean-Colombian
GPlates-221bf73e-fc22-4131-9e9b-dfdaae758003,132703.07413501476,94.0,Caribbean-Colombian
GPlates-d88eb7bc-ba85-4675-82f4-7adf28e13f26,615428.1759786925,160.0,NW Australia Margin
GPlates-7022b17a-5110-4d5f-bb26-bfc3d8518aef,21484.788847743628,135.0,Parana-Etendeka
GPlates-2b9f8d0b-13a9-4fd3-9754-341e17ad6b43,866220.6333791991,135.0,Parana-Etendeka
GPlates-75a17ea0-0016-402d-9943-53ef20858aac,25794.207540850966,132.0,Bunbury
GPlates-77f4cf2f-d9e5-42c2-8d20-1c742db28f12,11073.583749134068,183.0,Chon Aike
GPlates-cb91019f-f68c-4e45-bc37-fd8d0dc7c02c,13574.988054414187,183.0,Chon Aike
GPlates-e5351f53-7fe2-4e40-909d-416efdf13048,6729.438986087375,183.0,Chon Aike
GPlates-1a6c43b6-20c9-4e2a-9952-ca9cc548c01a,104865.78835663265,132.0,Comei
GPlates-ad68b2b1-f2dc-4f51-8ca6-4ec7af22365e,751704.3288678866,305.0,Kennedy-Conners-Auburn
GPlates-bbbc1cd2-ccbb-49a2-b987-3fc347a46a4d,18260.431574583752,450.0,Suordakh
GPlates-21eaa715-62a4-4846-808a-07e78688e2e8,462274.95870466914,120.0,Whitsunday
GPlates-26c6e9fa-de08-450c-ab54-8d0ba9a4d3c3,1382035.30443863,30.0,Afar
GPlates-5f46e4ef-cde4-4ec5-9ee7-b156c1ceebb5,619281.4932089103,30.0,Afar
GPlates-bfa48303-6c9f-4803-a1be-2ff76db22ba0,15975.245275915513,135.0,Parana-Etendeka
GPlates-1a06c28d-b64d-4086-b449-9940283f7047,40974.19182414315,135.0,Parana-Etendeka
GPlates-07e6be9c-f427-4407-8f1f-fac1fea2a482,1959393.2377801717,34.0,Sierra Madre Occidental
GPlates-91a2abc0-00d5-470a-b17d-fb4cddc6bc4b,803701.714981258,62.0,NAIP
GPlates-26dcfa8d-ecda-49cf-ade9-ab291b53e767,912494.3992064818,95.0,HALIP
GPlates-1a4bf140-1461-4deb-b824-76f01092fa1e,25173.503058112983,95.0,HALIP
GPlates-5f5275a3-1cb9-45f8-a80d-2069b723af96,161644.17472971813,95.0,HALIP
GPlates-594aa134-0b90-4427-859d-e05f8a36fca4,452326.30220360286,66.0,Seychelles
GPlates-e74f75c1-b079-4970-ab19-bf2248a85de5,2048965.560805818,95.0,HALIP
GPlates-94cc44ef-8f62-48a0-827e-84007e2a9dda,236364.61176632327,183.0,Chon Aike
GPlates-1460d5f6-5bcf-4f3f-a9a3-76cb0e467369,475104.70243922505,183.0,Chon Aike
GPlates-4a4870a1-7dff-430c-900c-98ff9074fb4c,1496631.029242895,135.0,Parana-Etendeka
GPlates-eba55ab3-5055-4d92-bcef-03fb5d5ec6ba,523608.6120424543,135.0,Parana-Etendeka
GPlates-bde8337a-5453-42ea-9ddb-7a38c3e3627f,84242.77253677786,135.0,Parana-Etendeka
GPlates-97b268e1-45e6-454a-89ff-bad0f6c52147,572.8868837874462,94.0,Caribbean-Colombian
GPlates-0b897d84-003c-4136-aaaf-f11186af693c,5523.449858506435,94.0,Caribbean-Colombian
GPlates-797d9523-394f-4f63-8478-2101687ba6e6,2557632.237375722,720.0,Franklin
GPlates-9163191c-68e5-4bbb-aa9d-a7d51d6323e7,67478.19743762129,720.0,Franklin
GPlates-7b949c4e-2c85-44d5-a184-873807f62883,360754.6230285251,95.0,HALIP
GPlates-ff62b20b-787e-4a96-a68a-194d618cb7a6,49950.279449796006,95.0,HALIP
