lat_maxs,lat_mids,lat_mins,area_km2_550,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,0.0,0.0,0.0,107296.4670361895,0.0,0.0,0.0,0.0,2586475.191217779,2411082.482190932,2132105.173839341,1899047.872196537,1684355.7077465535,1376563.4630574826,993609.5209213842,491117.7647790006,189980.24271575274,52287.11497679449,13838.986474321064,9164.252386448732,25073.40223660178,22317.993386191592,98964.06773877685,329690.51099672104,411845.7761744879,361142.5058979851,189379.21588623986,70129.01606660192,1215.3224759524794,0.0,0.0,0.0,0.0,0.0,3083234.9959087167,2876648.7669619843,2631678.6974899247,2411607.729027239,2161067.46726537,1941154.6272938321,1737534.938196583,1509163.0791254453,1267585.2649610708,939171.5065500613,619080.8456280725,657047.8027485427,703111.4364477952,367242.2571542921,138351.7640993093,140620.1140649964,119774.91399825944,107794.2280234262,97008.7996302545,84486.65102612249,65598.89376098476,17757.63002362624,416.3270552839943,118.39973438589672,0.0,595399.6926597869,573279.9239498791,183881.9637946265,20707.66894216069,9.454796042796904,9.084112168724578,6.389991104417183,1.2111279963714277,0.0,0.0,0.0,2313897.8902016687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95693.91008986076,180871.4955725529,245378.42444350504,196800.5787181244,152540.51560993056,15832.612458309482,0.0,0.0,252518.76508843998,179383.37693817212,147134.8874731873,113738.62263921642,82518.17149983461,73364.67898272208,71657.63518671782,79716.26766159027,498039.6058802794,410700.4818878669,152317.43656637226,72354.27325683959,568995.8645765448,432819.93285891594,326813.6682732012,211850.36650915488,117901.71519789328,45144.37630441733,11253.847113580105
10,7,5,26814.18481606851,1392.6950916754781,0.0,73874.37839649369,0.0,0.0,0.0,0.0,753098.6514053921,628867.6808086074,592007.8345505142,552026.061660453,539306.1593814302,611541.9132207264,767181.2347634694,772358.493283934,467195.9639729507,257132.69239387123,108651.89665271659,73519.51582162493,61463.31809481577,239908.150838876,335793.16761105263,238831.7208938799,217940.19616829022,183744.31520330423,177606.7921336664,151320.8889261464,108049.22057916637,55785.885315977306,28066.369459025773,28052.017773137875,31979.158760483795,26880.152605265364,1810473.671408392,1637634.3454237708,1508979.9875584552,1391387.362334535,1278357.9482337045,1205205.3332333642,1122637.8659914238,1093671.927297417,951487.9339502163,748803.1418849498,585395.6987069948,568603.8520303115,598629.695184519,343767.3488844915,318644.97948937386,169599.81086722092,78000.18482228107,46721.99991451879,24064.23234939506,15939.881007003485,17838.666910765445,53215.16488104483,62973.876873168636,22536.30061024913,766.996449241565,50247.03211422169,39470.675139789164,360676.0564974344,128320.67309842409,2333.72529369539,2623.581018574696,51.06979565573538,34.85295673786913,6.629040494134281,1.0699659849924086,0.0,2810841.045672347,402.63651112942614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.952837374717,487920.3940429897,397295.85423427064,274251.64950538636,271024.6868723007,268644.6507169849,288802.39447420515,148788.1108051672,75436.12488269612,239285.93320135004,246038.87717105943,221296.76111295787,97097.40055208176,66250.18161598635,60098.70931145106,54113.52354784702,359538.5819952405,176110.66810939639,197233.7173482059,365151.33471675555,243867.04318920488,724551.1318339424,619339.2223462366,320036.1667366914,485305.17142841686,425092.18375966646,370489.5730579435,294219.1908876894
15,12,10,69731.63027666067,69421.63177209128,53919.419999283804,36168.16405402086,20679.498034503158,9294.220518712184,3379.9927146355726,1564.305473424501,128848.43757077202,93278.51851611905,107619.8130344036,111265.89611058752,103944.52974773022,53775.13249631805,101076.41437015866,364245.0950989794,676946.8609721981,621754.9950182253,415275.9901445074,395010.34535132186,388609.580986408,354482.6582490512,253340.63452106414,168130.83278006988,15000.58352094557,27578.748568826504,119984.19457302202,157343.76068170337,124424.09537697436,118717.09578352162,108746.27521824745,87867.14775324306,78089.88022202131,70517.66421825811,947658.1683248893,753800.6724956296,624303.1077961965,521012.5869681701,450999.8936327915,355476.93852410256,296855.23215953674,233806.6982218357,323806.35234869074,516221.3407195456,535668.1906850358,441249.58290428313,300563.5478649923,573853.1587369645,293043.10965899593,230865.39130961106,191159.98766999488,168479.49647359576,144587.9900444757,124271.83461808033,105852.67211141397,32646.405665919836,533.6165165277603,34878.02619193932,50049.88339633253,81054.60786054318,38027.65840249889,42982.86917249797,363142.16199026967,214457.31709179602,24435.839885447705,18047.87378309913,7756.54691890445,209.45757282761932,8323.204038037518,8625.467873452562,2608805.3173439456,6611.793301824094,6290.428374512915,4700.125616728951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92058.51860187008,57470.5092457301,0.0,0.0,0.0,0.0,75247.93234614057,192602.72322705248,224656.57242398008,219981.2378404275,183378.08219653272,158802.26333344262,249200.6145770708,252912.41048455762,213486.24152171833,287316.7627396557,383418.5322147138,61115.0068929782,74894.40824311499,117321.29344344711,268445.9817508709,641653.4537135308,595771.1741799314,501495.5312090389,460272.5862862553,406200.5609060638,360031.3783918346,332567.5753922247
20,17,15,24098.15067785377,19234.73869397945,27207.117527098388,32795.81540285371,41240.905833144905,46524.098496884675,46103.39232075248,43921.37309234595,41075.227499354914,44122.079174161685,36646.48599425845,19531.09068614032,8529.196257387535,3767.449885021831,29310.134217692517,488.5647726599608,155805.99498598537,368694.26231014484,506972.11452968995,436169.2044496528,374158.6980403294,234070.0390798778,133906.51356247358,5453.386619425469,7130.563656173485,9167.825525370583,25191.61436345092,72394.77135695961,127576.0639182892,132015.77090534611,117260.78410940169,114762.54984606888,108539.74262121523,94588.41549874048,248134.10677532788,181655.5817666504,133486.39435958763,90817.91428907102,69783.39084162009,40459.4115080742,27531.54909081981,13866.92355170237,13888.48230201069,92554.8293125309,444079.9560876804,341308.57554292807,214925.3733283343,283966.69566267164,362671.83296509023,300511.6040766962,238978.24956097847,206336.32147817104,178647.44328780402,156743.5434908704,138040.6203123894,110799.76877061841,64644.11872137709,10679.65422436246,41871.79810048938,2137.686956177878,3566.95407145624,2028.6583966116584,20741.002100716763,252362.27958228913,162036.5199303045,7231.7263990608735,23105.733820912283,25912.590245133437,5213.9058179690555,178.08122436949992,1980251.0335780666,4.355201472314269,1.3811300492313947,1054.905736405291,5098.694733054318,2694.966468043758,13.700424203347204,10.980174412971232,6.029152143978064,5.87464345993085,5.609597768702541,3.012854892203476,2.563702830493972,589769.4195776855,0.018921629033873864,0.0,0.0,0.0,0.0,0.0,283.26673300713327,8447.643790603628,55614.128673176885,82726.47120364447,96892.96388079989,100763.07488846192,102460.34981925777,107007.74394719156,527132.6710207873,98493.80310857062,93351.18130149713,70077.19237763979,43579.77546151717,35494.57689884854,623474.7567132345,573945.6642982918,531221.9865563271,581793.3119085248,476990.1450681898,412434.9303312928,344962.65017213376
25,22,20,16504.21976329499,33632.964571919234,30737.962175771416,22580.020590032844,13975.094065849988,12581.83931372194,12441.921962078071,19710.179578653886,24976.322351319315,12196.784788952205,8806.624069685606,6459.964563032742,0.0,0.0,0.0,4494.884961408549,42449.33664614657,18494.32892648155,158076.5452376331,167603.6211696063,145437.67811065514,71918.46703909239,9247.911310265954,738.8780871390268,606.3969780191243,6451.7748526260375,12805.24984239302,17648.15707478845,50907.538375990145,60427.638457094654,76134.72819137476,70067.154481385,58100.10454616271,60276.67737901597,52036.130588841166,65117.04306987904,92888.57039655297,63115.74539938358,55609.31653252158,46000.78340047332,36704.44104832973,30876.88111899682,119683.68363526456,250707.77593959987,119299.47403461853,58490.392004611276,44699.24713158875,106133.18936332896,265766.6357983707,301984.9990286755,281307.205534882,249631.06740710474,221103.84797785175,198266.20345148162,174180.91443998954,137599.2958923859,107154.65690516506,97134.03937888627,36868.21394110486,29109.956984092623,22643.4832819458,8737.039634030562,1726.006736609798,8947.044579421115,229205.26597105517,100839.43793541437,3549.386784115176,4754.449343034853,13806.265308983922,11818.791334137582,941243.7196635981,386.0092197319037,22.68996286996283,22.304490052897478,99965.85811747353,4084.4070076556236,4236.179357386201,3724.802732048635,3357.485688396741,5.4687841104102,4.618086770034575,1020.1664140999327,12015.799038822186,768116.2276466934,54218.4528317114,61589.73686233633,73267.7551358554,63724.4508605626,62728.77567950101,9377.012256161815,14133.316097796962,14461.059646554291,15015.463634091826,14157.843618827086,13421.268062449566,13232.080131481414,12762.001524212315,520002.88079227373,92318.45219614667,8546.25795669339,3630.7952982023353,18289.326995272804,79606.94837302277,95257.72754523999,704811.3980077613,669322.281686801,657841.8197605344,650958.8981280328,652041.9415526811,648546.5804939563,622185.5046898748
30,27,25,33519.23058586152,30177.51230608644,27168.948483206703,33285.399910666834,36093.258238107606,32494.920844202832,29255.321692075937,25442.55812344868,14419.261348164946,8435.26065841062,1873.5785740464096,0.0,0.0,0.0,0.0,0.0,0.0,13682.899569336738,43680.293889704924,41724.03253745786,31839.424485446023,1427.7079623150225,3591.293127733546,2196.8042146806556,815.760693190425,830.1972102389541,4772.729288400493,5578.559672971389,14572.782906721464,20839.581876979773,20937.978333980278,15276.36019525578,7674.910288456305,3769.0864594483246,1310.8641791942166,4798.9532300383,327294.7031383013,238269.60529468834,124611.17938030243,212580.4516878408,368411.45518916845,437651.5946595025,308425.1453577913,42511.00903754993,22790.82836886753,11336.283822835103,321.93059690565633,183.7388529333267,123048.04478833837,164066.39678743048,205725.53739167683,205184.64747321614,198904.45168038865,186152.11214542176,172123.9780569902,164922.86715989953,139453.4323100704,140573.44782418085,84657.90019363082,75384.92893105808,67127.74070350779,56632.65976344843,52063.653896107644,40676.31393283249,15320.454041931167,222664.11872809063,102263.61339496869,21432.633680208062,2433.2405197150674,5794.173172138881,598047.8166319616,25619.982900433537,17697.234090396138,15163.499263584148,58214.1673170395,89669.75203675739,69741.02170154145,82321.00754042467,92986.32782882411,79243.75550330104,62893.45664949383,56753.82544983686,55427.20915606452,707340.1562792263,98573.80583054261,94752.49666232176,85692.30008109719,62283.580946375994,58375.53444795016,91490.7336838251,13637.856838902935,38444.10749822305,49456.495338716675,48192.28334437889,44242.91994681452,40002.22431820841,35081.12544697629,370796.77855312114,33354.574204780554,51029.82319030345,82913.22711275483,136943.34429857743,142915.2006547377,128316.63032332624,710448.3495775324,633944.5480981625,578505.4438581795,538110.0410439927,526512.8120500112,529811.3787799019,534402.1210782507
35,32,30,23456.917451398072,21118.367059147255,16010.041690407323,14413.911706464249,12976.908786329423,11683.168669140017,10518.408690316735,1846.3677634919266,168.87015865301896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2553.378743296742,1300.7910722493536,0.0,0.0,57.425717477775166,884.2763297412897,3089.4359569275816,2244.626107326907,1437.7639680907648,1385.9596934001283,7782.602051878593,5181.8466250190295,4701.076687401768,1978.7291433882028,79.23917985384836,72.71066267363064,289.16863760459705,470.0859957748513,637.5935799780053,591552.4843968563,448510.3806822985,739347.0707639493,690376.0791831464,488034.86825431336,338938.8239350596,298959.71261359524,130460.431429196,29564.167242069612,20722.11387722108,13752.304226214705,0.0,8742.285638457366,53922.393229943744,99567.87921412337,101019.00308990607,290484.8240378585,291878.9948553139,265240.8285191893,166533.27399661532,184607.07432938297,135842.52762595384,126272.53520873547,114398.35245253559,103491.31412396478,92727.83659871816,71433.88453015407,51347.4880217012,52259.44396728871,71708.68940961096,214144.0383177078,176699.6615739998,130898.81081094782,114951.6907864938,267787.4975564942,111760.14401851525,111304.23840230625,100491.04307256959,937951.091266203,202500.34869497054,533875.5544844281,499118.7662054972,388712.4072218244,432924.57160176313,402047.5137363812,408155.0145193052,421022.7700468993,945120.9564586366,314476.3461053903,110187.30505097033,98950.49754539577,73648.48336526589,53288.73828198431,35779.46383490013,124587.68531829663,87589.55245689618,107340.57222690838,108154.88917864124,112172.24812917353,127060.6675624202,142612.9592130808,352492.338314919,170263.53691343535,189699.91994062785,189354.79380918652,174221.8021426529,109237.22716663821,81664.39868670578,578032.6459984169,560667.770623837,499441.24928768835,449037.39517278154,401863.12026601925,357934.7654416419,316173.1094888297
40,37,35,12576.41495061783,7239.577846572018,4892.845181477618,4405.050268025768,3965.8863388562054,3570.505101251177,3617.278220872889,1776.1942265059824,1599.115558157463,1081.9849662249733,0.0,0.0,0.0,0.0,0.0,816.2006123057087,3526.359973455884,621.4188172348311,0.0,0.0,0.0,0.0,15.209455956629006,489.8086282278684,2502.5435698872634,2717.810277836126,4831.186789876524,3466.1964078201945,5614.868761666108,2472.063073524068,3556.543838459076,1854.586156401724,1197.9150843451787,1028.3899173315579,1821.8225399390055,2102.9820194966665,129026.9033805233,292953.84473707445,428387.4050635663,293138.05975980853,224957.30864137705,214159.0832085915,197844.1074878739,248160.49999517517,125683.88380842608,106204.99588099186,99004.9391953831,11911.693002679616,0.0,57947.947751531116,7857.490491439882,16945.65397653537,189522.4889445819,154833.47940388293,150867.09742251335,244116.0422813407,215542.29001292548,177566.42804448816,135122.22099517804,119074.23926163085,109454.96893577433,93329.50867417926,95959.64652109794,105508.09581628711,132188.35255684823,108664.84063856816,109988.61616608003,146846.97889773117,164166.68785050555,151541.016072591,116784.01572914066,96355.05054553364,68355.59426813696,55188.914692794395,1022497.9435164124,1011308.3049186113,754939.51756341,707512.3618637882,1066119.3651195003,598084.881941629,543771.4472028385,550161.9883659825,605254.5341864397,773721.0783808348,448033.51801136613,423850.5137454896,389882.12180729967,326032.08755241527,275062.2226372626,228522.01486064304,207745.50493519942,183180.8957274944,452239.0470184936,417212.20335679856,375790.3977798568,330761.9894240269,293830.62772412173,355838.0510229738,235358.51444296315,218036.48693216455,185311.14595614193,106402.59336157865,83546.39491336452,74523.62128368963,121216.1755148694,139074.89845737084,113343.03677776706,108503.42502195569,92792.97889190806,88732.21711417878,89287.7276581768
45,42,40,15559.458693873681,8441.962666420364,9267.277200923261,6194.872177030308,6622.21539870554,6957.587173694974,6887.45444891247,6180.913004030837,4404.426439820815,3435.4623395437766,2918.974546753757,1881.2434014693886,1572.7065404069313,3901.2001690032107,4350.5869633572565,3100.652171344689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.71646663589354,3667.478842773585,1434.9928969847576,1296.409987163048,2218.8251620541614,5488.975089146876,4493.1023961284045,5563.598072956034,5144.600450636723,3163.173503834826,1404.7696839428038,732.3396451066155,567.7537362696049,1315.1860100093938,18506.681003219714,7920.667070792835,3567.717334851587,6352.20472366141,8910.829997236264,167360.94073519707,219862.82530515775,200877.79473537684,196355.17121867466,56636.53275550698,11369.378346824858,278818.8895069274,144184.33220303233,104700.51965246847,71258.19161090687,52500.992826046895,37702.98751586453,166934.60009296096,235157.4420136978,236060.80622983043,217554.06447298324,206771.9938046427,220698.83351558,173497.30370320188,146095.57730485353,136363.21957811428,125206.20457034433,119254.05087676688,96848.01148674806,83357.97150467802,63402.64475375053,46180.16629355813,24359.242334786893,24199.524763765396,25323.2246287501,19902.034423719375,894843.3921519829,894048.4274103056,893547.4463123475,826234.4407587646,767123.737509957,722318.5282487221,674892.4765743823,641405.2995942378,572044.358415696,629252.3823923664,460154.78644559934,373700.11110247794,320619.1887160576,291447.62124663696,261959.67701518908,222816.2606467839,164108.83911773717,143998.4349251647,390714.73727034504,341908.8974570374,309476.67519433587,277130.800112667,259258.6569156936,224935.89088968528,338570.4796255992,252426.15386207248,186808.16002284124,91982.72878798757,48733.330921081,34211.48680425886,16983.00890309498,6342.7757585716245,3691.9623449136943,396195.98881219496,363700.6745767554,334179.47644439066,307594.7133277865
50,47,45,30605.12992865249,18953.885579153844,3071.562428424575,4962.051933514079,3379.007552232763,2046.5583094103563,921.682516715651,1117.379960656525,2188.403162511505,2881.9878517727743,3706.8467881064266,4087.4263974885243,3794.7565286590984,1082.8412828689018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.0297696702405,204.3621129585605,236.84364943642754,213.23139047532248,571.1180534022612,575.103117168771,1381.8836281188837,1265.7472535771376,1317.7378737320741,2656.030785805925,2469.4269594891766,2053.3099534547587,1829.6483202001355,823.9604028540514,741.8152136029103,667.8595345439251,601.276907917379,427.30408015208474,183.6779741060893,3808.81947035981,131360.79566761202,139660.85626585234,120415.93387971615,176330.28432199746,25427.77560413922,379041.87940794724,325101.82838275086,276346.8109689661,229670.02417366125,194743.50801193758,260132.98067151738,161010.61164325458,132503.6601496919,162426.74454166368,211249.54928091547,182378.87874542648,467123.52700499207,386922.1223327856,309145.40585225966,178027.8564761915,101631.82735259972,84848.84639637585,85140.10576519289,84192.59958005436,57342.98989340707,41856.736235613236,23350.06424939901,20331.30291471851,19649.3334843398,27770.85552096036,400358.67102895345,620585.7431557131,793594.7809857421,681580.4022739782,569301.3416202883,490181.3894421471,428528.164937676,314255.09543572715,230068.6609008616,217766.25284600368,201255.52719339615,167948.73051171878,127056.0117413725,119320.7822262913,109635.84783302486,153503.5183878073,195970.1400279472,183156.94035293433,234237.93120497957,247525.0433391364,234458.66269457337,206929.62946345692,172587.0875694386,142620.01346057316,252185.06675238255,189326.89857942844,142151.56669629202,174937.41912670818,139046.8848149128,103593.88957084296,75380.24045857672,58813.2618752291,41421.856408379295,253258.7097615176,209577.79929344723,174201.0759051057,136050.76796661766
