lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,384724.0414862125,327045.99987934064,380190.1559125964,298464.1595271233,416620.844315571,533893.7052991668,530998.4959790072,3107661.524396981,3055660.1522234585,2868437.8801517235,2727077.0629525697,2581933.166731066,2189319.517970429,1649877.751706988,942237.9475178041,492325.8956776802,250735.04181923618,158093.57033736527,180632.19591393974,226027.28481578093,232000.0692004594,427047.01603769144,1177368.2279622094,1539272.7539016563,1423773.860100899,896111.2756016168,432925.9262239688,41740.64157975367,41562.91253214928,49047.98416299442,47918.933234200704,50608.7930801119,57690.34733237485,3147220.9765204783,3161548.525850918,3128490.43339914,3084333.579704414,2976920.3223175677,2892409.588314721,2789958.442201038,2607739.648832425,2352856.8092718534,1878756.3311181501,1342172.3360118028,1508116.0503598494,1716081.8547020142,943520.5500877292,381944.7008207543,363167.3032811902,327751.1432111864,307600.47817272693,288630.86775046773,267922.3491658094,225216.7764823932,82579.61101477902,30235.6778477821,35773.14235284149,34060.521445434046,661565.2064560648,671422.1618905928,243563.82568439862,39370.000601467706,2429.672120373519,3007.400990630914,2572.147492754151,1702.325928665579,1067.0347298611496,627.2110666584717,256.69290287707213,2313903.0378115717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97050.13000882861,196807.23342954606,286461.59513742715,246499.1971887333,204990.36731585235,22827.583009486676,0.0,0.0,267141.2423194227,203605.0687563545,179176.5446702313,158363.48680985023,125099.70709223536,110339.20084518538,115628.36638089753,138009.1816167302,673541.0767137227,605472.2977000589,277064.77026655653,162690.1439185068,649009.9662368725,529672.4752637303,431628.31458167685,305887.85745605425,183636.70818989235,86852.91922536657,72989.62825043766
10,7,5,340839.1019446117,376190.42671644536,530452.0196530609,506208.90843390365,494863.8258990352,423905.9036709134,465759.808781762,1169082.0323906783,1156268.3526513642,1137379.8816947576,1053007.7732102387,947221.9097960542,1130721.8685445637,1456162.78421875,1488863.5550821433,997551.5785207336,646557.2200238443,394202.96237803285,381521.1021035201,377774.8337115601,820510.9602115924,1151093.5284921518,863342.515402533,831945.015232728,869335.0169224701,842090.0774191832,715517.1626089616,579678.3000212798,324570.8939399733,173072.664738329,181582.11518138638,215269.9625236406,226786.1792962072,2044701.9730081928,1930112.3048203355,1878650.255255749,1838748.8211128837,1790167.5307120841,1791142.8620177177,1784634.447969142,1880818.9613136528,1780059.2919302108,1515695.7853702598,1261524.5098985862,1300144.2810695118,1465114.392171101,952023.7459941879,828458.0095076438,515002.50917621946,270508.097399727,191903.83102067263,128223.3558849632,102536.8663601974,105326.00453142861,219544.73935028136,255028.91710158973,102248.64059655019,14512.378242156403,65860.32433152037,78335.50425348675,459348.35043641494,184441.65287092834,15878.635392681846,21680.247736285994,2441.229316363634,2236.672705675219,2596.8853861209163,1716.7808098778285,1485.0033701919283,2820060.171695128,1854.5764771726028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.952837374717,494835.43551898695,432299.72571056895,320169.0008588,339467.33372180525,361015.992424825,416397.5244488717,230162.56261869852,125200.17366138265,271249.81663835654,282805.486493245,279591.6186168844,126862.19011926801,92869.00235132294,99492.67667808117,87318.7945799189,452410.444588115,278706.75203992706,315193.22192987206,574216.5644299508,417398.8610979505,862558.2895979664,781454.9935736445,480229.03227264143,760726.7959914065,781660.2558522953,770362.6539796529,660970.8258038589
15,12,10,387280.8872922864,467992.04981697496,496885.21756650205,467630.4582268339,368018.3682652911,276400.17015433614,227603.3986320088,379729.60956005496,408609.11870042246,471927.8749142764,473403.11260406015,470974.5497250531,412912.0401756955,351250.8763046623,805599.6428294175,1416503.338713697,1414696.3104557795,1058159.1255837663,1055192.4854457353,1075099.692060883,1064128.2699859513,872617.0250287065,711813.123382354,227377.58974402572,228735.1042288937,586698.6335282007,793476.8498476611,694528.4116631687,681459.6387816559,611228.6643024854,567691.7987097368,552189.9694071909,551994.9628207013,1413877.316218858,1199045.9288278408,1012875.5462246253,900683.3083658408,843606.3550949118,634398.7907213877,527629.1834143705,435850.4678139831,607082.1298998921,1022580.0427768085,1172379.3035400049,1060495.3830502965,796544.3452108044,1414934.8788811974,846396.4843918058,699208.2570526277,608065.722284337,576137.8371483072,532267.9657725596,491989.6454510081,450446.0820178473,158835.705070317,21186.11028678593,154346.93731782818,223046.7910589865,265863.1137096206,197325.94062966324,220197.57586704375,634659.975877101,446189.87812901783,162899.99621008546,134419.13944405247,69132.19628513417,4780.607905136352,24624.862574131796,27603.686157800494,2619891.65695074,24568.713578609117,24699.999340846258,19332.744698241528,433.68128284744665,116.31769222786481,0.0,0.0,10.377965209687053,10.879152777960465,11.540805589098873,46.5700223969444,93.12020539161614,92147.97212519818,58371.695563287234,130.69535422305347,172.01265769254272,161.1815313080438,153.71901779210992,108552.47754609729,297942.92813283653,372859.0502944194,387580.72510343924,360262.84275521693,314999.3117532597,430986.58570900525,445088.82952917257,393384.3321469896,467219.58812165837,564184.0333222311,149010.73163286113,210910.56945256513,335686.5254108678,626458.2782896723,1075205.6556905243,1078274.4555014009,945535.6916974063,855158.081034065,737186.9609117368,635535.5960812467,593191.5570219948
20,17,15,321357.54099538963,323641.86738849897,331901.16622619407,292771.53446499846,262079.8972054602,269341.32696040557,222868.2592301531,180085.65594447183,135659.46839340546,122016.22623214815,192176.70146217002,280190.5635658869,218701.32348315907,287080.2610600544,229877.53565183358,497127.8416089437,912197.2040773323,1253377.6355854108,1109315.116187471,1017796.0382572176,725315.7418222142,485144.27059919026,166459.16714185616,190170.255795427,107773.67019794052,157033.531069462,415010.07692446397,687198.7713994246,745906.4062085694,735069.1558188311,731089.645871928,732606.5863542716,671960.2123252236,816509.2040267513,706784.0803152029,597626.720576351,498510.76933800447,453691.98624092276,382946.9681654283,299965.4849951951,177499.42812207193,89896.1198884003,224521.74940945054,894338.4518533652,732525.5378639642,497365.0713975727,782279.3331637196,1024329.4242302098,915246.2972107928,776858.7503381822,714862.7566560904,658596.1885961553,615898.1892792354,577683.2972428281,493127.2920083945,309781.46780177637,60565.89482261052,72361.03189663599,20218.424275171812,28727.30852406386,22135.087616913188,55588.46077444836,393903.53533091216,270273.7398424247,57029.53812027966,132271.86364027124,157972.48155765937,50066.32477159828,8785.74550061172,1982370.3691447172,2276.3700151732646,2467.8899090877076,6279.110331674984,23272.707092481167,13533.491834149667,695.6842275907482,538.4187942330306,568.8800194334373,547.6930248354257,528.0690535023417,544.1540042600828,560.7929972737065,590309.0392554911,522.4513454111336,524.89057501162,524.9089354233088,502.86218048851003,484.83682862941777,450.82917106015043,4127.540292683785,25027.635781289016,97031.28349041575,142179.40264924432,183248.4196935263,206751.3731924597,227409.36849812453,257028.85040394042,739421.6383797693,295342.02531134407,310333.3820804446,253191.08360623868,155469.0436134157,123500.42747070424,500215.26862993394,568081.7261877179,652670.6556498267,849213.0585816321,819314.9450809155,853599.8668895315,856128.6774317467
25,22,20,341740.59702664753,240113.56839407876,127943.27739250154,56448.959539889634,31128.90350323696,16770.820473629123,17378.576499339957,26220.34791583482,11586.08652524075,33666.31071772283,36063.03563489296,51526.219581005964,143205.75133133674,136024.915188659,150013.07804765733,211478.72988237353,161283.85608105303,440827.10705044755,477822.2218648678,440137.8515699066,267730.05432323733,144998.73343365605,73922.92924827021,47349.74402684217,105124.87859720748,107942.02889946187,88976.96324131134,304403.33111661,393961.52666436136,507998.30111590755,494562.85975497495,439767.3999298546,446719.34147427464,405534.05431070377,519441.9792418673,585747.6977080685,529394.045113666,505096.9737232102,443975.27882407344,392733.7632009004,363136.62555567134,472733.64333330456,584946.2838931741,298902.85744479176,117175.2973290698,85857.04296031472,305276.6972069561,760146.9518439953,907300.8838187491,905446.8549002906,863482.3208238599,821612.5447209266,790733.6756951862,746282.8608918614,630336.8150021276,520071.57121214917,452675.1288547711,206315.17683250952,175742.01567048894,145740.41521977252,62127.04546954873,18189.19205105713,28529.53074550082,368786.17301358294,182924.50468652765,13829.034222706345,43883.487659358616,118959.07071308146,116432.72875286906,1004238.0614069959,13623.362739379289,1579.2000678478666,2396.650376646231,107112.41463966592,13956.324710831712,24375.01113062631,21919.73219502617,20636.001081924227,741.6193439403891,665.2844079433172,5823.715713791668,72768.2746800275,800998.7172359398,67304.73876116867,90339.8473618497,125027.61622389885,121387.92377014326,135915.09577966385,37211.201372727905,52537.765561562024,50349.515645246494,56022.94125198951,56840.469171647244,59176.59992890023,62705.75064937853,63001.879485611564,581304.6795911727,158537.86451752565,52986.11237203024,11772.095453654734,34800.48815617359,203640.06686745217,278724.78990679944,519886.42674822226,603149.3484261301,687856.590114046,795192.255160867,903788.559179591,998159.57105617,1038429.0767500191
30,27,25,78731.75505174161,50497.35418592229,44011.88996025212,48033.07625541785,44956.684123456944,43425.29442273392,41946.06947746458,40517.23236385383,35385.992513461104,12494.806340861638,7174.593008909014,11620.83413653011,18067.152889248275,116335.43961896404,135304.30545093596,132304.7336368409,153864.91482731912,223573.04385487654,213721.66975239004,176583.64540468607,93201.49348437323,27306.142620105074,454.770455338809,5078.033878944256,15608.054114273524,63644.941566562484,65444.55412747545,93333.48434863117,139564.92017234105,168848.92153653307,139839.3879888601,97808.3522087166,63281.045852384734,36521.15697797014,47733.46289720225,460303.17153036245,497785.9836634772,394843.15815041645,645671.0300548701,904645.0911052144,999711.7863726802,784426.8726935578,346305.70264475344,295811.8353414252,150545.05103076773,29.44172807546778,2322.8011852851537,379851.6711564608,525717.8499335642,676358.6122075166,717095.5419935297,741558.7713558605,742578.1904576699,735202.9130491879,753452.2142040671,686764.1719288249,607655.4356995512,471485.24820225773,450313.78575967497,430965.5776768551,392490.40436828084,344330.49515612866,233773.56986053273,114145.48430835253,384932.35737827566,210491.03499942046,85399.65373565324,80789.70691506194,137423.21640757265,808764.6418266591,211762.84359316065,109974.1560967467,82483.89349656794,115500.03975864594,199490.4974640846,217821.86387300433,244284.97785661998,256471.0204438588,240567.3070412239,202608.87778444967,235060.79345327002,335379.6207650674,932835.6911569154,291689.49443422817,314253.8144646185,330733.9942576805,283611.1870757929,282437.2040625822,268074.9380189712,40743.957225040154,102540.26460418549,147794.5830731867,190409.1011181715,194991.0772684886,190679.16602284287,170236.29014782372,502184.65300421714,147497.19006502713,154619.09973937363,220695.48180990008,404397.49042895006,530223.9922396255,545664.4439316619,536500.2705863703,545803.9493366106,514241.7120985761,488091.8529858086,504626.8742834309,549088.8575881062,595347.5014451628
35,32,30,32458.733556114923,24924.903352405236,7431.782175766025,1587.4915488815973,0.0,0.0,0.0,0.0,4419.088978313764,15466.189027024064,14943.301159647006,13309.162529362484,13140.971623687288,16330.810940245015,57016.317299018716,44095.384587450135,56699.27357988639,39846.016831416244,27243.607438805055,20670.083312312625,6060.30082328577,0.0,0.0,0.0,0.0,4670.645151390182,57632.850897841236,31711.238429345532,27483.767159312894,29191.83185640768,24701.99329019369,27461.69397435018,28770.115697234214,35111.47029818476,43033.275718863566,684759.6472745496,577539.285045743,888668.7887504771,925416.2701125079,721142.7962775627,725096.1138922374,797871.8029388664,604827.2076677406,387513.5333895472,285939.3500970828,204377.0404309536,0.0,35598.57738916537,189422.75883644752,358934.4750512971,385761.1892086872,594400.2400962575,623513.8746247019,623279.6492947283,656223.1289548053,779887.1555839425,716876.353406801,642172.2588050197,613993.8031638504,587179.1542268193,549522.4154166897,490097.0745981553,432468.04480759316,453101.69415291597,420904.26262424694,569013.2677190234,459864.1590052075,375372.1482324171,345837.83749851247,525753.028899355,412094.4348596808,485779.5712300149,444913.87771676696,1275983.083413601,463609.17532362137,833410.7440490979,858780.4810219628,687238.3197304108,899925.5722072053,903020.6795272541,998649.9312500908,1121756.1215422405,1621816.5605490052,927495.3778869534,444809.2635197509,371383.6961513524,289258.8185765415,231079.43336681998,222110.10158278988,443042.6448991792,394501.04737363895,406970.945524502,383371.10356485186,378657.6441762529,401738.92666812404,441061.91077637975,680232.7408452331,531988.2319554584,630483.2652454146,705332.9819079136,738005.9018546647,617521.4413085633,555949.130344301,498047.7026474682,455749.7422582024,428403.90910737915,384508.6901963446,334232.62385806284,252011.11413715722,174770.45159940567
40,37,35,28191.15857360661,23255.281876100133,23635.833650312656,22013.23907356733,16694.12692766128,11931.363527614922,11948.518687978883,14739.140755111188,21657.545744723695,11040.045127332125,6241.551156496062,2463.4218417323386,1965.3405024502056,2482.4611275721245,5909.605640570202,27522.013724672954,6059.076698313603,17.281018873159756,1388.0561301695132,8044.882161398791,8526.601354382654,448.00509261165405,0.0,0.0,0.0,0.0,9326.926437289316,50166.4870348184,26160.57219189771,23747.663335948786,24145.56457661319,24171.128215964804,25955.485656250377,39286.5148745773,43506.28808480754,165434.07929765602,348735.50007463776,532622.7400418815,391963.6569220579,336508.27864426357,362422.10517786257,391552.08415365644,548184.5321157768,467663.3690023245,560895.2271766546,478250.2983625363,190070.84327824725,0.0,596.1356028845572,43757.95639524692,81704.98747498101,288194.9703054157,287267.1027596764,316092.053569221,553112.0348213989,626785.4035734488,719898.9902498212,735582.5595253869,703074.7662830536,679451.4185311365,667253.8603190259,704041.1678768385,751711.921548517,778233.3127848061,658215.667826132,597244.5895501156,473636.9583076355,419791.0766498779,391858.17965371173,327631.6047893686,302212.06307850213,265963.55720586935,263239.2383685722,1276926.9506818107,1291954.6989916118,1158544.727311066,1121915.9804158986,1497244.9505685729,1123852.1779556444,1124262.4317830084,1260354.5090294778,1235127.7904427887,1470083.3303454004,1196949.8227173807,1136057.155988031,1037996.3482828351,952985.2056439936,874673.3777080534,789683.5099465017,790759.2538478498,751417.790131877,1007067.995258074,1015945.5384697095,991792.9417525893,935334.2515984364,904788.5812190301,985664.2481524887,867075.84164746,825780.8008827291,736361.7575558925,531841.2331787567,434377.16330393276,375052.80039372796,296954.4594582792,226785.02009810062,171730.69233039764,135270.43390967976,101604.81797891021,82665.92020835972,87018.37546691336
45,42,40,35545.3401375332,37752.6300202636,32723.469278701858,38856.749206057895,43721.18861969995,44425.09454716349,44808.67586476826,37660.7429491665,25937.716647653266,14849.29607438993,10347.434958847862,12404.633153183735,26889.872290264226,30486.69041590302,26989.961452551594,6382.378601109815,5582.856612679006,5659.4125289319345,1121.8567645710777,109.02279938450086,8985.179841553707,7137.850638909468,0.0,0.0,0.0,0.0,45.67518269329974,12768.873494387306,49594.21481920933,44585.5517383545,44970.449417279764,44565.709717533806,40755.62337608703,16497.55658281263,5436.003838327601,3302.6448590009986,2793.5319724481483,21312.400337948435,9971.330224519086,4636.670978263679,9529.424639342353,16232.907301381414,307493.77022416104,460425.22028615884,554150.8641367877,747255.2602988626,369685.2616924433,195162.44326458703,71890.11695809862,2403.091308898216,1787.2259900301517,1875.6577309587356,3314.157691480227,5658.69018958134,195800.87894713803,426336.7467724006,571301.3424171889,692202.7132293116,704964.2277155349,737807.8205021379,756167.4382936531,739796.1417384031,760810.4314126148,730330.2498872386,756022.8214885728,637247.384536065,502769.35680332244,295567.54208272946,160910.8706537438,95096.5286506943,83549.47968634115,97598.47574431654,91783.57216452518,874059.3428969309,1206821.8926513928,1408361.1485157378,1389064.3192676434,1357087.1638407605,1170704.2779872818,1109244.4611052666,1100222.808177945,1045380.373960427,1115843.7444986352,960724.2971249665,779718.1291275403,866233.7614726666,847794.4622725243,808642.2258872138,810655.3286787337,763065.750066413,736719.9691513794,977697.078805099,938781.0347375025,889267.7153806849,821852.6028694961,773467.2960693282,703918.3021595678,784081.1337304637,680154.935112414,608941.4401553811,451868.05848012853,259266.3771744946,189754.68597623898,147889.35095700654,158752.4417304491,141978.92897674837,514506.1534941347,481228.55658263335,441328.6976611844,414626.12151896977
50,47,45,17719.700096781475,21747.928452839114,20442.457425161945,16551.576075701676,15966.033275128468,16907.738965257748,14574.745224185555,16651.203975431614,14752.47697632602,27186.876956153643,32825.764633845145,31244.830588686735,15779.550576519472,9042.680314954454,6749.734203041879,5900.84014468923,5655.010655949475,5517.162673326036,6022.218117555311,3292.97576135271,1452.4212594892201,8893.480655903959,5275.2146119540885,0.0,0.0,0.0,0.0,4147.771202551939,4523.029873795583,13793.670617379881,9731.641189582302,6933.759381819897,3833.9794575809433,3539.6871160727073,376.9425043819193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6518.46002515844,247927.9409666768,298855.7811639621,328417.77160535246,734456.0641947057,292943.5084074559,281246.81430500577,210900.72333688335,203508.19744171196,167562.02051121235,141022.87855242775,223862.1795472262,148207.79319276326,198109.52072332066,322985.924721485,532180.7041131834,510224.7952909751,809269.6443350728,821522.2650794538,754447.6054583369,588021.0358033126,525415.2699589583,500657.2771940957,582859.7429536958,641972.6696307834,438435.7525873362,313928.97869141464,127783.7514632519,121965.44213707108,89548.37597924753,193158.06346072647,479078.40591246524,851077.7818438704,1190777.7224632974,1071320.452393997,935400.4978453349,856947.8126678388,753569.6951096598,575358.8353395526,584722.2368672343,547283.5725024188,488957.1280429421,427766.0602535349,359734.50250802014,357390.8804958145,351799.0426193364,487238.663322635,596774.3556286898,581881.0688443132,498483.9136979517,461891.27473216294,450667.10432548285,510451.04083601444,421340.6319716684,406465.5091172598,526336.6468552185,424919.1354609786,395860.7207799903,357337.0176860703,324037.57274786156,286319.473132052,237928.01348054918,204842.93799038927,173919.950715177,366605.8748116934,340568.4308401855,326263.897347611,295371.8697325723
