lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,41714.561328575655,33002.7541544204,132314.79722113794,125238.46432609545,133523.12237506965,142738.82670205756,140521.2172114225,2721525.2102028625,2555483.308430857,2282081.473739895,2047852.412557466,1820189.6314103643,1486439.0076379615,1077612.3010093574,544035.4826050809,227352.4779873326,80249.7706033704,38003.70792328779,34806.66288233602,49599.0177710647,46457.57823724563,140400.9232595924,393891.20517992135,483293.4247342519,424580.8565771539,227266.65486540942,86296.27335185716,1720.7809423778929,246.84362548267185,273.8917079567671,251.5976850100665,249.843041404051,267.7849773156147,3083514.2711581877,2902376.8615818513,2678890.345822954,2476718.8290277678,2239185.356298119,2029253.4665716838,1832503.8314729545,1605742.3786857268,1360615.7664299447,1017065.2942913631,676418.3373197984,724050.3597510664,781513.2404401565,412769.33566182567,156691.9940463631,157007.30605806998,134292.05738618202,121644.1104187815,110144.51762613727,96654.12122287914,75645.90960466082,20690.78849604729,509.5606836953436,67.54989701813344,33.8547379845847,601242.061843156,583502.0934801655,189761.87049394907,22407.389233637357,197.88490613131452,282.85450892832375,237.4475037494952,178.3353873038344,57.868958161373875,0.012245222174192667,0.004712035961085712,2283661.1474551563,2261344.2267388683,2392350.981874568,1504894.0779149306,2022494.500999278,1309586.478682063,1592796.449713637,1136993.0115005588,1372007.658757987,1270533.9018549602,1177032.1133072642,1106388.1877016579,1032393.8553942906,926853.0987351505,770261.8051783731,931728.0811232204,927045.3150896535,676191.7989377215,586783.3474946932,490470.5198410652,382711.74892171094,338270.02470291336,580807.1435547469,506068.3965613604,483100.5115459238,447396.5795719727,394018.60386739497,343661.87467173557,295842.1642658926,265679.3761970092,774591.9858620041,731656.8837433894,488706.7807587926,392166.57749208994,861679.4881798706,688969.2138399672,541439.0229020524,381410.8922681179,227861.01077350214,133794.91032967222,84511.92499935412
10,7,5,36590.18312968653,35248.50778387193,109426.55695861667,93937.82543180854,67755.20006060155,40216.87023181262,30349.16610972806,777349.0161417492,661991.2591390924,623767.9096540336,584372.0072919907,576689.3336838617,671992.4745658288,842411.4621824054,846087.8823611999,523092.8884150205,298833.5174465384,137987.48298692307,101186.50787018245,88285.19056155818,285352.39833965956,386801.7936734256,287548.13628326234,263444.2600941057,218825.6960075385,211040.3305713635,180617.1141895928,130580.4891212647,68288.81301969232,34563.591169630854,34803.09200164717,39960.77957665586,34341.65814128388,1818121.3815274378,1655483.1183039332,1537341.0131243628,1429546.073330999,1324803.8448656742,1259851.5529678033,1183843.3978471085,1163551.933622993,1021357.9857479263,810939.0859220166,639497.3353940796,626788.1710356877,666358.5542076542,386955.018154085,356998.51447723375,193859.9286698965,90475.06292024445,55060.56586083952,29093.576967691268,19595.76203422166,21544.955520139523,62529.96853117515,74382.23307426722,27167.45370227648,1183.8958024287529,50856.944985191076,42118.633151020294,370990.70787569135,133546.9266756912,3128.594094247525,3495.3418806703708,252.76242505613664,255.3960814299568,313.4832042531872,249.35082413550623,150.06571844122013,2757958.981456075,2495421.4577694717,2036418.5611151773,1865516.3033842826,1731490.3373896992,1614827.528830742,1453445.1939664674,1325361.2019759133,1226983.3134445501,1125673.855275335,1014546.8075342008,978360.7154063112,907087.6905225527,819613.2299490825,1229422.862172688,1074949.9989136183,886480.6019861234,831639.3072793321,785463.5405927945,734743.0449128333,513460.93110115745,389567.46509663924,608472.9370936782,585778.2039878534,495082.5820147904,316197.58947133267,256883.69834325142,240677.0129049148,227844.42637068688,584330.3119047885,457535.5183595377,530540.3030269484,616056.1999565382,410400.2938899687,913370.5160881368,801776.0785408791,488365.7115809978,663221.9879351299,600805.1067615203,543684.4879503787,442499.10645106324
15,12,10,94349.34454413415,83772.48348454357,67481.79847239025,48054.75913889267,32781.088193324,23766.411576949537,18266.941509884382,142365.40940434992,104009.41344291593,115789.6746268338,116667.66552561874,113827.65690990548,62901.78520606828,113090.31654124583,404015.3764603435,738305.3099327266,679826.9013192909,457180.15411784936,435772.6431773959,433959.23528473504,401620.61173967406,291184.1644999134,197936.28155256645,31003.715740404157,43608.42798960064,142558.3829222079,188839.85709299557,151442.58532633563,144758.47791018564,132881.09165063704,109239.34558474268,98178.40472244687,89708.78495683122,965963.7613926533,775000.9570554927,645424.5503866759,542554.6950147469,473777.1497766488,373696.5170895547,313412.8834732215,248898.55745185982,347450.5168355831,559069.2574565245,586327.22327658,487790.74834330485,335523.3899780444,637461.5452408728,331234.5877856482,263350.0961027979,220044.2883191197,195753.53808258878,169607.96825692808,147157.89379901194,126558.78355369685,39704.614027052376,1152.1194912314522,41792.8069067448,60226.23087725916,92389.94373175403,46606.78044000143,51846.34514897321,382661.81156133633,229325.11854775195,30663.30259701347,22910.755839502417,9943.614196355225,259.8211772403365,9560.280777636886,10056.817600545673,2568292.429001976,2179839.071010787,1777006.2047813563,1538159.4933289979,1288938.4194431305,1348699.5154498117,1404127.2302001277,1189560.8525960937,1021056.0997598806,901787.2146110875,811637.3358223452,619570.9577533464,587198.2485389996,629177.0735625395,610364.0125521541,494358.9200666691,450940.0775532486,380084.7461962629,328730.12720343634,391391.3561037045,554418.6869831844,577674.9970064997,591365.4893319982,494142.99058429385,444955.6666235595,510868.3601326482,488395.8221582883,423492.7480584039,545321.120807421,654612.2235159253,356309.09957700444,247392.62560372762,291283.2686630438,457177.70451207086,826590.9171581219,755972.3529361208,694717.4478825934,602915.6390032433,540286.3225704428,490427.4927520233,459666.30471062456
20,17,15,31164.18862085892,37230.308292098845,45425.41686029398,57605.554099822024,62005.23919344033,62004.167451182344,51416.12115429068,41548.237630458774,38073.595564229654,30329.66940565766,21513.028389056206,17286.835050998794,10099.159399714965,38414.559493525776,7193.013320466878,173276.68635910147,406115.4556096071,559447.0516003656,482506.3810646338,416079.9015779055,264474.3358972363,155035.52260204067,9425.007564222075,11418.583919587698,21568.68507969356,38481.897034322275,87344.05259829061,154550.10474044504,161313.98598981052,145044.0452157085,142179.5237924161,135458.8138731675,119328.36901179682,271788.1015715511,203787.43329375712,152648.6449823521,106822.87807956937,84073.12535905963,52494.151253006115,36977.96863124562,19688.000392706886,17640.11169541067,102104.79184927134,481551.54095380136,372018.3684778905,234673.02481269522,318269.13051684265,410211.21510937763,342916.0250836077,275075.81881982833,239563.1094662704,209211.61184173854,185156.48173365014,164480.64805908088,133167.09020147033,78377.69921445094,13074.838988827736,43840.708089521984,2676.17504099122,4444.31948215124,2514.137327136039,24202.44566445807,265254.09004541294,170700.08024372294,9178.62220597327,28184.255459821827,31707.600067354382,6574.187744926131,214.53205614741833,1942567.0276773155,1607695.2688777465,1318521.166825148,1242224.012005936,1128010.065617539,1162853.397235726,1021302.9231722152,986802.7473864052,808136.5814420186,662669.6258059245,570458.6098033697,478019.5209043982,410018.0936313002,1033200.3426641452,915770.4118106898,894353.70521455,864686.164108397,741195.113406799,640941.8485642988,391226.5265243179,265649.74545479286,229460.95034062734,265443.2570232963,268226.86115790566,272547.28626593784,264686.9000372931,255694.92460813114,274632.19986726786,755716.9910690864,384954.1409549328,277511.88457216887,183427.38538521627,141480.98152149143,120468.69527132742,506074.8008711694,539885.4389257503,530881.6654782712,614160.2324195463,522940.679194824,485114.5584394985,487507.94400498865
25,22,20,35647.046664924004,28714.987303278074,16602.356531738114,5843.571449609361,4369.66957459552,4549.976534591456,7557.250864029525,11066.832690756764,4050.8015105296327,8833.373996546245,7825.895418072687,1111.373110956433,5161.05602936924,5222.319047992139,10404.768869039355,50599.40151383557,24451.33809245453,177454.72820600428,189091.88373190782,163417.2424775219,79810.42843127529,11219.055709419341,1849.6316194332774,1615.0332605351143,10179.151383041442,24610.026072264638,22880.796098075447,62224.46429382383,74603.84357501555,94444.68518182749,87592.24969916875,73322.38299481102,75805.08071561737,65952.9556163005,83241.73968303367,112880.63487364943,81623.01052870894,73538.92969149796,62676.53266725782,51094.1886293292,43498.58761810958,134593.27373522514,269703.2952039986,129905.42195247702,62619.40259748911,47983.63304642101,119114.89788512672,300701.319175627,344578.1051182273,323792.00992984493,289866.0838912448,259002.93586026755,234293.3998315973,207644.39862849461,165464.08582792716,129953.8410624611,116490.04158450503,45491.88582192144,36235.21505986997,28433.940385827664,11070.4287474691,2211.1365272481135,9739.913432062593,242158.27666011237,107631.83091904999,3977.3931647717704,6143.483472061117,17957.386910931862,15527.47472498158,936155.6861466481,798637.552609983,847026.3230323566,769864.0195259103,807930.0587712831,490141.93408251385,332465.83078072016,299459.2945832494,338626.26284977555,334005.44635532575,270305.3589189866,146384.68768041205,144809.80694107377,890590.8636585311,874221.7728232911,801212.9202433936,736982.1777009356,696137.1559153979,661192.557235324,601779.419074205,426829.7146761573,335231.32144642656,239949.94444846187,187617.14749529544,162429.43776686405,140617.4676978947,122724.24846096622,692796.0150017786,329280.9673055768,215769.49592919473,54596.65667642065,80896.62786650809,156658.0559269508,187937.13876565435,368833.3058734733,420362.40378306655,460454.52983054146,512054.7952838701,556101.3272870756,575299.5189078983,546790.9860826439
30,27,25,4479.957208645654,3487.4797888761,11787.448693379645,16382.12271351985,14830.175085754905,13469.03733482092,12232.827035384953,11110.078141191603,9123.26943351896,2293.029579147423,3.7143910862664757,5.656781959257484,229.39427152701873,4141.1309595376015,4714.217049935637,4287.454245974389,18705.90693842678,51615.199193426524,49359.71448300383,38057.764916302935,2417.6825946586164,642.9048763400122,12.917159443655489,135.61638075331177,986.5269788860595,9360.019759326738,15206.032863508815,17938.534878986764,25884.15667687996,26587.255180160246,19654.80629794986,10254.618858599306,5163.729954666335,1832.4200145185528,5987.370377876128,335039.769005176,252840.4424576079,138012.16566052038,232312.06941211852,394687.7724486281,467004.06555851764,333079.1307390627,52842.48170659807,31305.997992462846,15267.963119093374,2.7976876328874036,214.38263408106098,139350.1288219052,187369.53601217808,236878.4698902917,238298.09270231615,233014.07081446133,219982.7187202745,205187.19228090454,198323.32071935787,169183.23061960202,165556.8852425352,104484.87584851446,93854.1246539879,84305.88038403213,71756.64854048257,64944.53537696715,49202.47136746108,19279.24147831447,236686.77245681183,109650.33418771069,23453.48321898865,3240.6572717391346,7981.527786321913,618051.5313430415,422274.0763993468,398343.3074328924,320637.0902204934,286921.48286485637,439057.2124318938,453508.75839013606,416240.4735874369,337641.87830141356,270641.65452056256,242315.0497457494,301214.49255798274,215978.22592143837,886831.9192682793,833305.7928348044,722136.2654601866,650120.8691593229,545227.2595344608,487570.22029023396,480182.9399873812,445169.76867682114,449709.69604153704,443542.2238480926,411509.14439241466,374299.5226922215,337142.7006942961,301253.9590115171,630352.071393004,400292.6487187699,227517.1198226194,245844.4005221849,323253.1563470676,370455.31628076726,362048.5278438531,337948.34215767455,302359.0931786158,256132.32070621365,217876.61067477963,216192.92596464782,241833.83454736957,268629.51907302684
35,32,30,4741.349140085548,1160.4401138698065,6.298673623322211,1.2650547838712178,0.0,0.0,0.0,0.0,2.58785267333705,8.515926296913875,7.73636421715698,6.478625338284324,6.014525801089051,87.43903829910806,1674.54071146803,1270.432929144834,4264.1032653635675,2368.910866685733,438.04833744312265,247.19364428248937,106.70437650001915,0.0,0.0,0.0,0.0,650.3000308043847,15184.505972550854,7998.504390810037,3312.567488182909,2475.249249653805,384.0590206479452,455.06332006420655,1009.527260506853,3281.954474587144,4973.667899844938,600125.9550724498,460295.7661663685,752441.740148937,709149.3796117988,506772.7211202809,361787.70409032423,325044.29060184356,149090.65649013125,40093.87585690412,28709.21885961109,19282.57270010435,0.0,9943.079210687589,61654.981315781566,114779.33088505348,117458.8441119795,307716.5716476376,311216.6079080257,286325.11888421996,193977.78579995662,217306.31110172416,166244.7812891529,152425.07262803492,138873.77864569146,126379.14653901549,113572.58865903497,89364.70003500574,66284.2986436315,57539.14927256167,71851.73604890055,216972.5131348844,177617.7283563924,129760.00742816055,113411.68121872735,265340.95458394504,415136.72724720906,584406.1991704736,566091.355517084,1395746.5334092195,403446.1777931954,600198.1293685732,637460.5059934302,603924.5034531105,705104.640211188,660375.2326233282,631730.3200687328,661340.3900784431,1131451.8447067512,1019608.6685008265,706721.0695816283,593331.4209792761,559167.627882048,490698.0218555362,536719.8456224495,625480.0804167319,566250.4893698369,553987.8060022473,509071.3784073931,473894.51012894604,455324.57372889045,444819.3926973068,636592.9708388842,496551.80941981124,475074.8977950234,480000.0613620978,437690.47980681335,319188.9784935967,253282.78633786377,201594.6097210811,164855.86195827782,140698.44401791898,116837.22002852913,96522.42959256649,75591.48557697302,57240.38160239074
40,37,35,5823.604294802614,3437.336472216007,3122.872625036258,2835.59882829895,2571.9176537009976,2807.396458650777,2119.071913161531,1926.571584168828,1321.4220078595024,6.0788220326732745,3.2313417571389924,1.1991428557221653,0.8995218541226317,1.068312105528954,1042.8720641509117,4545.216730566613,808.0541258572981,0.0009616390095128616,0.4389667366714351,2.3921370027829245,2.383878401749593,0.11776951024931134,0.0,0.0,0.0,0.0,1216.805342739102,12284.390600287394,8216.17507857348,3361.964431288025,3866.8480162613314,4313.051961148395,5860.654839290634,6555.929007454937,6876.349771866809,133029.00328634397,298534.202830663,438476.03328744107,302755.65918441076,234815.79210650228,226253.23792940922,211972.40774111866,268430.28251726966,141113.7038236627,123867.00849938762,115010.05825548618,16851.440863551394,0.0,2.3026427457456125,9127.050207446215,19774.417266382454,194258.56640666106,161888.62431746183,159971.19353505704,262187.05832103343,238329.83895253946,206005.92903254478,165026.71749918791,147063.54842091392,135899.9439034845,118318.7401045169,110369.98099835035,100114.64371449254,110719.06328306734,82334.73364601468,83746.08941721666,121563.45665936252,141624.75058304987,132173.72966189153,98312.81523963984,96081.54087191337,99919.8342890419,74893.26333965984,1041481.1565235534,1031823.197531402,786791.5062711781,738007.6470157892,1096604.1239061048,1049140.792946033,618337.1090450317,651775.0035659301,689786.918132545,902909.7920606647,853729.5974107792,767792.0629083113,657926.8447846236,583118.4130385859,539407.2483202615,488115.0168764269,541444.2570798647,498132.88825645705,777939.9272728616,736509.9411455756,681882.9610865557,610964.7873867641,563525.4816324911,619130.3996973055,489418.86323804455,434831.76608260995,359705.4284880554,248983.98323334855,194914.83046282476,152747.54032210892,112104.44956518448,85554.19329906665,65197.410709996766,64984.5481060882,57738.8920865572,52519.956115599736,57119.808961410905
45,42,40,9598.818623692816,10576.040747768666,7136.714741003187,7697.138778197006,8158.015613756336,8145.4239694091975,7375.5055318564855,5304.154535143269,4170.50428936475,3569.901747533705,2321.827813473344,1973.7060957929323,4910.164210190279,5515.532546307737,3977.5746095964373,21.930178511503215,20.50492979296864,19.54406700608384,3.642694752951634,0.03241781138896113,2.512088377288343,1.8763652195931197,0.0,0.0,0.0,0.0,5.979418799181401,5640.685939277565,12183.326476427645,9908.802675794352,9278.285492976083,8569.867488685239,8195.524607128664,4108.189874365759,916.2496221840781,248.3227781666308,197.49227256602197,17935.3288630711,7889.906493114949,3449.5847108096696,6578.653454873638,9518.533257890367,179731.16868606614,238565.552030012,222094.4679831183,222771.5988638717,68025.14191087469,16226.009178446435,5666.223523683874,57.89292411473605,0.8079821041560225,0.8949952608710605,5.669181795404126,13.389376448453433,133572.90944442872,208728.2700964267,225363.61151328456,218522.66391146064,211906.58771760896,229488.37961033787,161123.92133962357,115540.55900717653,99013.59693846875,96207.85651095939,99249.3498062289,78953.04161482117,65119.47529685528,43033.31520303023,24531.2566163967,2785.140639501865,993.1703165487991,1696.5846573788147,1551.3709069257848,742032.0329528013,833805.9725088822,888771.9990999349,808439.7501454854,728605.2339786205,815552.3411586796,1077042.3619801544,561173.0523048136,501178.01512360177,527136.4632886014,487177.94567243033,432752.27140227286,444079.8368265186,433821.0815311811,386480.5435835576,471275.4007202373,488706.6835644858,456585.1404267407,674962.2304276831,602230.1605099125,531777.9275605209,455883.6380234149,390761.737743055,329854.2097274154,428288.2489149461,332842.79511675675,260671.25234249546,142322.68295348395,76327.9181847139,53647.854265938964,38889.196515805146,32386.179634222746,30290.89526439702,418277.89507649495,383435.4315860919,350783.9250097626,322480.1117842445
50,47,45,331.890839803047,3616.5154104753433,5729.808050331408,3925.1165092930623,2402.1457273568794,1097.8042678666682,1337.6056393562776,2633.905631601614,3494.0253409074867,4574.316529548965,5093.442498717152,4763.461837881796,1396.474834869112,35.509368091001235,27.032039240715307,23.0501568151923,20.769939929209595,19.052825080291218,19.554280930272114,10.053462940476972,0.40606984269982666,2.337877132493756,1.3038626028900768,0.0,0.0,0.0,0.0,510.5464368686852,1543.7061278039723,6771.446043757446,5042.93357734476,3641.5359572244442,724.2393955935429,301.04817695611365,30.143107080986184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4019.3049588811423,142037.5605431336,152689.81050216893,133811.47204519098,202138.44885137212,33059.95866838581,21468.72953069855,15125.746542848845,13754.546747660259,10611.029305483073,8365.055788606664,106390.98288270569,25288.41467313952,9886.783905002274,64257.4263010517,135798.36437668995,117006.68267530919,411494.6289802648,331953.8905028009,266234.57334275934,147317.03692062135,80164.48341567484,68325.34213210574,75963.02776888995,79304.4832335617,47638.93998849069,30547.785231753718,8727.672826250508,3714.1451468644655,2061.784898232585,12527.797966009388,153548.80204188792,410773.3274265345,618109.373141495,517864.5800410894,419431.36333711934,366414.2835482445,335132.527724722,642005.322526955,231576.4609100553,290993.376504031,292646.3507775545,300596.1557286477,293794.15328352374,259904.91805473447,235886.85275296468,286040.65472761774,252651.46202289814,235578.42233362643,224963.05779354475,201598.40335229132,192841.49301413717,184328.39733061634,164099.30290671284,139396.8696807128,257863.78081716294,201501.3446169969,161087.54349285795,183380.39822047736,144683.78225249983,113288.6656606213,83510.59416665994,63069.68300025823,44210.31876457009,255569.0592125617,215662.7549433871,184237.5909657681,145640.4105948452
