lat_maxs,lat_mids,lat_mins,area_km2_550,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,0.0,0.0,0.0,107296.4670361895,108774.81500611595,122445.70126609165,140484.53553798824,150128.83385259262,2773455.51507195,2767990.608694054,2626829.0222732904,2544407.9849215783,2490802.8724834276,2179416.228102587,1736376.4033532634,1025006.1226256194,544329.2668478936,299531.9040225757,221199.4018964333,124960.5101289242,120731.93358268394,116872.64323553514,347564.2725846619,1005221.885003942,1305803.5587767372,1213658.5405498366,682719.0775807595,270789.969636841,5034.837558723399,0.0,0.0,0.0,0.0,0.0,3083234.9959087167,3086355.469489951,3029361.3226623125,2978406.5887035043,2863549.8505447255,2759660.514097146,2650641.0947513073,2472308.472584524,2230432.540473004,1777447.6732343328,1258772.3263123727,1432169.7233567778,1643245.6332583742,937836.0081850316,398800.8344623046,369360.47288783157,325561.55220081937,308558.44924359873,291414.00137219916,268976.1553001322,223232.77678324463,73412.34624106892,13193.956191407913,8876.853305546456,0.0,629877.2034546882,650688.4881127169,238621.8541586253,41647.178764125296,8493.671483022194,12659.518462838854,11229.004896604796,8729.923299779615,2984.046276117809,0.0,0.0,2297914.629966868,2426876.793323634,2739168.8687717495,1832669.788713872,2619766.7812223067,1801911.6064634689,2326815.4259778843,1767047.1262029817,2271055.2858517747,2237494.4007206783,2205170.8574012276,2205953.9481980186,2189251.810065125,2090352.049109913,1714699.7934707492,2107434.934361444,2123023.2439470347,1613718.1098093558,1520161.716735871,1568629.3482056218,1322519.3799749743,1242265.3741309033,1447568.040345715,1344923.3765621395,1281735.3813098017,1221604.00635248,1146412.5079238373,1064391.3810681487,984079.945811922,939097.5139184778,1448800.881877014,1496787.1513146423,1208386.0481827576,1073853.6520533923,1491969.3475849987,1327474.0376116042,1173686.9206467783,986697.2199320802,633820.2847964271,689336.9706856685,671108.2617784349
10,7,5,40899.61615404583,2279.1336031853903,0.0,73874.37839649369,65827.11862790458,46208.64953155045,22424.828928640527,7231.23960823756,765448.1789567083,699933.1040574397,775427.4466106435,846192.4293996037,959253.7715093206,1164200.4264295879,1481382.736563047,1532326.2235319277,1079213.898463476,736673.2011411528,465283.99213036825,338910.3281837937,245820.1583027017,682653.2279787903,953313.7422264282,732624.9508733909,704877.0241267867,608928.5050254499,627203.259303155,568060.5739192774,428812.31783440546,247735.3879667508,133843.8383134142,143527.57783517175,175548.60839351916,158314.68152781294,1942508.9812765082,1799806.6696646514,1747661.4503289084,1720905.446833014,1697515.4503920856,1718429.677955368,1718294.9677677131,1796048.700299859,1674335.278117954,1412593.4453741175,1185654.15105313,1239000.1988776347,1409444.7185936593,903840.4248810255,804393.9151218412,510501.58480453584,270292.1545766002,187582.61363768924,120568.95849845486,94157.06159497281,97303.77347428133,213257.18489641018,251271.62922416037,104471.47842292546,22011.56263858184,71205.70929788722,76256.27453649354,460785.8939196805,198739.61895941824,34192.051051831826,36498.812581028986,17583.058751956425,16755.384671989425,16649.65582762923,13761.795483399394,8754.779962874321,2803287.1978619844,2682199.3812764166,2319370.8092613337,2259659.370999468,2230907.8724641483,2215107.50296893,2122832.835764236,2058087.71540631,2025541.2549690828,1975740.5354666372,1893190.921695698,1941313.4112869564,1916479.0600911756,1836676.2380123797,2261357.1584895607,2134151.9075775803,1940164.9861601335,1908844.9016401689,1889909.768663302,1818173.0731213596,1466278.9497753214,1266718.8052334448,1326751.8146704044,1296672.0017297277,1260229.638629964,1080794.789721582,1020606.4433195572,993635.1306290342,930988.8479500257,1006448.9443890038,1111183.6218007833,1113871.9663270842,1295660.3786784455,897980.5884587711,1612929.8570391499,1573255.1939741247,1301386.2413899624,1605344.8571126424,1624410.3725221406,1590693.145620861,1416944.264694064
15,12,10,106361.49976866685,113607.90650119129,94671.23811847856,68133.14158738157,41795.64664762397,20154.08724978907,7863.665503196944,4467.756836163887,174491.29380049414,230406.826102373,327596.18801783095,409309.84078315774,356811.52508427517,285799.3679138081,324452.3383773303,783765.5497563824,1369985.1686961304,1339555.0269894518,992249.416929196,1037741.9689888557,1015003.151673475,932765.5447512971,714329.4015704928,547387.5028159886,96524.27416112574,133176.62707899592,434847.6595734569,615769.3456904443,521610.36012881337,512820.95508892107,501868.0451337747,448974.4752082401,430353.1991839974,418478.366353547,1297713.3311856936,1107957.4918095456,935067.4637932199,815899.2547345967,756176.8190819517,552350.774599176,455623.43550301867,384774.05102408957,570614.4191246246,976176.1483525012,1101613.3502288568,981473.22038553,722721.1285848506,1349242.130335216,799429.3655502031,666884.3280892234,592957.8010370191,562869.0893174259,521099.81139432715,482755.555867427,443731.4338973229,157373.251535198,26340.82106111814,164904.78273189435,235369.97777591884,278038.7072719069,206090.64701619814,214433.58132137236,624164.8463096176,435609.3442644268,160766.21186643947,132840.75059403855,69646.83052269153,10820.828605474933,29594.893385318297,36536.17855087672,2614623.354816306,2363606.5227564806,2048317.2100742399,1882632.8228018791,1662516.140515248,1851009.6068165195,2052857.9254729538,1848136.7287394898,1686118.3310803073,1583668.0444634468,1515919.9700339471,1231199.9854755537,1227388.0971846906,1279993.931202546,1269844.321539062,1081182.2499522632,975915.1422752037,923047.5408741508,897639.0957704308,1106149.8084735458,1491350.2468679151,1597846.3574385035,1623055.2503697444,1569984.9344712915,1503018.2987260576,1568831.693074888,1520721.809752237,1412407.9355504545,1436053.897256541,1563056.502075735,1210350.0105910522,1122521.886845572,1179984.006807004,1460876.8796890657,1874502.8165487999,1828104.042286548,1663387.9829112338,1543247.4974181864,1392774.315488093,1283493.2482844393,1238742.6501793847
20,17,15,74139.22896893955,48313.65350169235,63247.84712502378,76730.95311714357,97793.94734531647,114834.75878050804,120735.31157614582,191484.99621673836,260110.83702149955,341872.1020634601,329705.5280137215,156176.8177277455,58650.15541351561,21022.554070617865,60399.82880844447,15357.422236653361,291490.89272723894,717957.5032629685,1052280.9276798326,1071421.1755870916,1067128.0273097642,701719.5924024245,398783.4164024347,21868.588150474774,67465.14508602615,81983.10284528972,128099.07179175517,282327.0645360186,533301.1132627199,594155.2728707654,567893.9164472149,580205.9331499038,587400.0388286137,563244.5897288972,717869.8702010916,629088.5082228783,531346.6146797426,436933.6791743575,394650.244338833,339695.1172615742,269687.6205715927,153523.4949701294,72528.86329968023,207363.74871266587,876891.8061505856,708823.5455329167,461178.52380258753,720136.9793776185,972951.9184890997,867416.4068005607,741093.000831337,685980.8907286905,636651.8109817626,598866.2032105047,565408.8526941028,486925.8943331348,304784.4029895144,56426.24128919781,70496.14920424561,20290.702968928486,29283.3916904708,17577.020382875184,37595.05796092207,373639.8055748042,253943.70941443066,53320.780257742175,128433.14867262475,154475.51357113486,52505.620362304304,11455.410058595433,1968707.7598414384,1734459.5595620202,1507025.6699451467,1505032.7969523442,1472537.6836699902,1601087.9482429726,1500935.4281492522,1533601.0420695855,1331865.8379451684,1158786.6806924902,1057907.348840562,935915.7655318644,859375.4851646472,1431852.9584743227,1357961.0086376597,1380611.550281912,1412290.1561152013,1287820.3802947495,1193043.8121567434,921549.2665612386,866850.0275343017,831682.2117388737,889606.3149847997,876346.4927693706,912401.6616406327,921616.6038859843,930879.6384602968,961473.749850915,1507504.612720341,1192437.5777850389,1102681.2505198808,947514.5184068575,812675.6375355003,725340.3726712451,1261830.0316101485,1255181.1904045132,1300590.0351204686,1498409.7827095154,1504709.9946125634,1572039.0663561388,1641737.7962242034
25,22,20,180552.95014772945,224681.76372209282,218344.42347600282,191033.36440428463,163510.63784147648,157940.8652567557,155153.59222665583,249006.2695661317,317907.17652346066,190820.61277640448,66493.95006049098,37234.0436706053,0.0,0.0,0.0,7460.091284267124,75588.4733458778,35333.149348000865,324018.87751217565,389072.6097650301,437239.89874823816,359971.2831801931,134025.62471681894,40779.49161558127,5010.034078389724,67121.99633818796,103444.40281330969,75537.86306972345,213593.06159411988,271190.8550066602,366386.43058086134,361070.21479542064,321283.415180637,341452.7322128631,318474.1021856384,443584.3089897807,532403.1922261274,492565.05742020864,474197.0536671708,433323.2502556844,379454.90937201295,351168.7077923474,466033.5884985224,585391.1994753947,289251.54660148744,104652.47629232779,80850.0365839572,265704.89704931894,711750.7568254429,867861.6312767434,869315.4779022668,828399.2017462442,787945.3549468409,758381.1710914031,715219.4177198194,606255.9640546358,505212.22445792257,445687.0797519344,199567.16292010777,169051.56833848203,141125.74946907937,58406.36222934055,12379.338653394449,17581.13930974368,350759.5479102134,172473.48014224673,12505.501133783471,41490.258151856026,115149.76831979079,111348.54952645996,993387.1424393863,869036.7741358028,957968.7847198619,935009.7532099864,1023999.3515321359,677430.7594069846,487768.4427869187,467619.0198724607,562207.8544365221,578393.5567456257,499200.27682758804,296467.72696004907,348534.9443804033,1075110.6331036896,1104901.2716286094,1166450.4704282745,1218114.652267458,1205245.0559379105,1204764.079875655,1064272.3715926232,802893.606768815,689715.9897731309,533815.9486923227,458107.48901579005,441568.2346825793,415744.3095693005,394847.5788927223,901970.274561105,636288.0548172272,559984.0989653587,317934.30284542684,397822.6182593792,607189.1989789755,741969.1004882706,1506913.1023461777,1637302.363165716,1787726.5274728644,2000119.2701871756,2162370.692355102,2238922.717863509,2221694.942305919
30,27,25,366693.85501148057,354202.9161490892,342137.46451952605,357688.96837006044,365767.6202028232,353308.23229817627,341273.25688491494,313604.7690593323,139907.9293474605,54136.122461945204,9452.166007545713,0.0,0.0,0.0,0.0,0.0,0.0,26140.98278012229,100535.04825010667,98834.1706009286,80115.72928736861,68326.37928291074,184739.92765080507,121244.03282890593,48304.86818302676,22898.462403437203,60719.034851276425,70800.54302993958,62473.986348981045,92627.94737328606,99849.72908000417,78161.18593302293,42131.183961864306,22198.59876693817,5173.0283034605145,18682.688251376025,439165.9266979628,481369.32209499454,373201.33521922666,607702.8940875174,873730.9873532994,985046.8033208787,778611.3744566248,340185.366958405,292504.998225081,161635.94726998903,10819.094222685682,458.63730186697416,329535.4916951834,471418.06896765914,634211.1826162657,678655.9452294403,705864.6721361098,708978.3935145761,703653.7666194745,725047.9434718539,659423.6983216782,584886.9975454316,459500.34959187557,438939.2046866208,419366.3516690131,379660.17862815986,331424.50508198637,221257.11331563265,95280.29344771571,359601.83406551066,191623.4792362911,71155.86199081439,65950.93299974232,123151.46634670164,790862.195775347,607615.2957678523,530313.6064652319,446135.80965138937,435083.85299305664,671080.9443684272,772074.1050650064,752931.708520837,645744.6393173153,558515.2423124315,517977.1759395041,693226.9006072332,638299.3026501216,1220819.329010209,1167523.7764750666,1073945.2105398183,1053096.0581181133,911560.6971920435,864492.2435771492,849934.7515675689,779588.1024221603,843632.5394056744,874591.7388020162,879215.8464611608,852083.0599359425,815304.1617389808,764549.8239468321,1057683.040907803,839288.9771620401,656012.8110135364,741647.0284329224,1010894.28319969,1300628.135050024,1401224.7642783727,2082831.4657834396,2066561.245586816,2014236.3703125524,1877522.6066619367,1776997.3103319297,1725759.79902495,1691236.088677775
35,32,30,225332.01124004752,217656.37572646356,201613.8046046805,194746.09828041622,188112.33124542242,181704.53466869786,175515.01116687933,33055.333216251616,3243.6601659599773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21080.864035036546,11522.317066330499,0.0,0.0,2753.3234845334887,45488.11232315699,170509.35722052105,132914.43083700587,91342.90661333421,65642.30347848126,166165.18448784755,124388.55675035888,69896.873884222,24046.17531130321,4747.926058542523,1728.6130901058655,9122.971610887076,28493.173102659435,44810.38772485979,682072.8718864856,579987.7942347049,894857.6429849911,911263.0811940255,695187.8701248388,690685.451498629,760260.3504205551,578204.609982513,384099.8819959632,283944.0582039752,202177.7252464822,0.0,23412.752322593748,154937.21437370134,306948.0980708692,334124.1553516575,544642.6538830156,576496.2185866544,579481.9715055702,616451.8796886357,746208.9702513358,687781.7880669488,614743.338803143,587815.3287105056,561898.2690828606,523379.2426323648,462028.33363870875,400822.9245796583,436001.02816952264,411204.5035889036,567306.0769664382,470944.34146720194,400699.596031782,378478.92325171485,563608.2510631587,716016.3384188219,983631.5892581056,963467.3696682277,1794455.723551857,680274.6146957014,857427.5679399126,994913.2455609175,992509.5636950705,1296199.9617558096,1300298.1290072585,1345801.3089569355,1517202.5036889897,1960227.3829043233,1806090.4187400541,1265352.068459474,1094981.557423243,1051632.1199960047,934086.5896869464,1064645.2185018533,1291118.9358413192,1272018.4297142783,1293557.0398691143,1236405.7175806586,1191429.6184750758,1177006.9938111482,1197325.382625789,1438328.2853302555,1362725.357280586,1469890.9224035598,1598271.0078113612,1592081.2303819454,1367559.2948748604,1258751.2092759507,1727267.4817971333,1665508.0999265932,1521348.552268376,1382144.033655228,1265429.5680457274,1131911.5951301593,1001849.2210260828
40,37,35,51080.26304788429,38405.51665854956,32428.171462577135,31323.548896348606,30256.553829556866,29225.90453219369,29763.72287067429,7255.587208366593,7008.435272104403,5087.700646704433,0.0,0.0,0.0,0.0,0.0,5853.988616919584,27135.679823437345,5130.4749165518815,0.0,0.0,0.0,0.0,782.3905465519605,27033.075138821107,148186.88651558623,172665.8171374296,172725.52991665518,160237.46094189218,216565.6931990274,159817.87807051145,127005.32323562645,95589.54737240393,74342.72292491634,65249.387062452304,64309.357630685736,70764.91810768264,184803.2511069933,352683.51599731884,530601.2157215852,410100.6101282388,353160.4055661975,365642.02310611476,381505.5390286286,520382.17468201526,427788.7968430665,530506.7300147098,470843.92547104356,187884.2745466325,0.0,57947.947751531116,24223.090629164468,56048.38840819134,258505.81389647687,254629.7452263637,280322.65179777704,506684.6965255014,574522.0999163984,669663.8492850945,694680.1063649906,664955.4719439836,644214.5807488933,625781.1672976727,678648.3157483097,765931.6736925032,845238.9073411031,731050.3649174096,673830.1045049725,548107.6788858669,500861.5316442505,488389.6886290043,435502.0801449241,405830.9394186947,335753.3448310624,277302.58579265606,1268357.8670202654,1270784.4539519262,1140834.0785805024,1106083.6984476496,1483632.2347270192,1557040.3226744293,1176259.8871325082,1435363.6475116813,1667580.2760745827,1913880.7859511166,1924419.9772561737,1840611.5654135863,1641396.8254585667,1457166.6414307165,1383181.372443065,1200865.5310384904,1360012.965581764,1312977.5841531563,1614152.7096318488,1655099.928497079,1649233.091219688,1583690.682131946,1581946.9760567283,1707663.1229447874,1660969.6672967132,1658994.6861428902,1607217.1589975469,1351542.3216906642,1176241.6145863275,1009455.843170188,849293.8081959512,712638.1658612201,574295.7586506796,468216.2917389758,365408.4434414009,293264.66190688295,259342.24033679874
45,42,40,26446.96465511035,22608.456094825066,26628.011635481707,19097.566881407234,21903.226709533013,24690.083439062666,26222.962047025703,25248.451244147665,19303.256388672988,16154.202241467496,14726.167543712301,10182.713496761844,9133.249744658367,24307.20258042199,29083.301522677033,22238.62888904605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19109.496830953663,75094.35556567417,97812.88949396827,94526.69858202859,122497.3560539902,215506.86387325422,216627.0238581259,222854.38234931172,202584.28841145878,150526.1562474347,92693.69073377893,65262.935072035616,57831.59822269285,70204.12866876269,85341.33067756375,59115.57466923076,52106.88204497371,28824.940668176412,17695.91905276398,305375.68233096,444861.5706457543,522607.3524458245,706911.1104968127,362394.7966245408,192403.41006234742,346100.9143332972,155388.62720617247,120522.19938564426,88005.96582870903,69567.10627397329,53600.8025574355,241265.99025976277,477641.87006743916,592233.6254869401,688788.5844945007,697964.5845225564,726796.5154774976,795833.6020053781,835551.5809257851,900580.7174662726,869658.5716482156,874688.1858728267,737951.1292824978,582537.7531153758,360074.13939605484,213832.1946855186,150296.79085610973,167015.47422333097,214009.1347399694,189135.20393736524,1082127.8071166927,1309224.2881156274,1440680.1917780011,1446677.8604818422,1452433.291846373,1452416.2900973733,1785714.4544673164,1334752.3017513242,1251910.7446865004,1324716.6277683375,1305187.663422724,1193386.1147210575,1446367.8954893537,1482186.443920736,1391197.1591501923,1525252.7407303047,1454089.7398473835,1449083.4685174525,1659121.6792271545,1618030.374986668,1586873.9401603788,1533587.6282857722,1516187.6877453914,1434934.524344325,1490484.2435109278,1287340.984243757,1094385.9660542365,862239.4065329963,603182.7283499446,500167.3992379841,412702.3739219336,344197.4867042592,337147.86666556896,703570.0898639357,670667.7703165535,629389.4135134083,603651.7330731658
50,47,45,40553.71549505308,27125.18764716218,8825.634359469648,15297.02566271975,11176.194674103406,7262.531415098873,3509.1695828286715,4564.392580744234,9591.102929048116,13551.659140345118,18700.96706435311,22124.24607693929,22037.46103036403,6746.857706576903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11196.083860446124,5452.737552570868,16143.885979053397,15593.965957188124,19210.549432617252,27675.11731399463,80058.13061072353,95378.11995642111,119408.75194632588,153298.37016360153,155025.47304760452,146702.56645133413,141341.23602301508,121787.53498569105,117639.0044528846,113631.78809959292,109761.07224608674,83689.30500123203,38596.60521995546,18839.343334071014,248070.18478565163,295569.9965515289,314250.74375702144,695791.1370914588,280215.5137838002,635312.9780820264,540370.6132455106,503378.2816769185,435562.17111234146,385321.0664148779,440572.92831740796,357857.62595739146,398048.27264603245,499859.6052016028,690812.5285816612,659317.8106628783,948303.6640308022,987546.9189919396,913300.265896508,717789.9385760443,632227.5470849234,597158.3413649828,673079.1856784144,735217.9261691645,531529.8391991833,413306.64259255375,221846.83208621078,189872.22767709708,153347.66668146828,284676.0895227607,833637.0756000362,1180333.8689428298,1488279.0400930888,1367316.0970595025,1222510.0782974437,1087384.90354132,970836.537690232,1266347.2415759326,791713.4137181891,855218.7682926513,831559.5963428123,822151.9930340587,815826.8392222422,804890.9615401977,824310.3159883232,1048858.6751297396,1112707.7039291377,1086850.100945602,1049288.3506804158,1073823.2582650837,1083093.3739719004,1124544.254519292,968439.5364245528,859914.4306071278,869934.5635235149,662542.4130681235,531571.8181080797,442408.30701003066,388157.5322480248,353249.1768663189,326469.1596838794,320689.74163639115,311470.6746454058,532193.7440839284,528954.9159362228,538134.1482649733,491826.1132289091
