lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,3571418.9226551983,3541982.71363269,3464381.5880142157,3853508.585491428,5402583.2128330385,6607405.844068639,6492008.678156605,8938753.461674076,8626432.768741509,8295942.123830445,7720949.605557989,6785758.488965176,5664976.582230061,4674716.657272153,3513623.7085627117,3777565.5966523634,3427882.3075962802,2920111.4568050117,3401798.7037677607,4393787.338975446,5081951.472850607,5353051.158227919,6756834.830031996,7403926.128146242,6386792.116716234,4647517.438959835,2472913.23135075,638312.6405388641,743003.3214878574,907731.5796113492,918110.4335361855,1003841.767456538,1184660.5728923024,4443484.375524146,4710889.521860745,5095992.232818121,5151253.007350145,5262060.2136486415,5884365.598346136,6287854.587440176,6567377.767501889,6655409.220403499,6063456.823004302,4876105.954652503,4983813.387391267,5351659.9895119,3372760.5055855503,3222762.2853585496,2752426.5859429548,1812834.7751563382,1614013.3157863198,1459259.8166831862,1396203.3331040298,1317230.9204373057,1264022.9203747662,1440964.1821040916,1732377.8471102545,1671311.6623472099,2254145.7023740215,1779746.5833405207,587306.5117961693,296109.6687499713,527133.253388187,789984.5944492591,753085.908585235,706193.2614125318,486822.18018611823,279561.70106116886,118448.43390304167,2316356.9698137203,2529935.962819783,2956188.3877323624,2047618.383263542,3030253.2804274303,2157750.776345687,2884570.999921596,2267874.0439830124,3017518.9413401512,3077767.116044818,3140273.9908071808,3252170.0005901074,3341365.735845469,3302928.9502701885,2743883.146587729,3440794.901204322,3529038.339938636,2756965.0879943287,2708376.739477847,3034399.013805111,2663436.459446742,2590038.2368199048,2822551.468011643,2767071.6956961397,2748069.1080199243,2759465.865522114,2712395.308267687,2583815.7026106827,2454155.9548360566,2384707.3234722163,2935027.8912214404,3049327.1253930246,2697662.276476158,2542694.2780630244,2956379.994021597,2862340.957471669,2757230.3154226663,2617875.3037752695,1813371.845245653,2498504.4613059717,2702246.37637682
10,7,5,2888635.0811732495,3063626.9440905415,4098073.1146699954,5118802.100288897,5133377.611947518,4929833.287847184,5244915.554302101,5433151.626019896,5431133.944995379,5292644.851935169,4976523.244671298,4605999.980080064,4755351.092955996,4929829.63385141,5062617.312604981,3438455.991219207,3103259.7826220966,3148135.0863721343,3804640.2384890215,3593359.951466677,4107684.899379594,5453977.414549806,5814409.730653377,5495787.934190793,5960479.176370004,5116334.90328536,3695664.7604725575,2791128.6784569146,1653352.2267119908,1014904.419086667,1049117.732112063,1170540.4263456166,1510284.6074350558,3772403.9654520256,4130177.3900763374,4464976.556863392,4614241.899440713,4460030.385969973,4308139.057966618,4324753.284156917,4754488.817806074,4758638.2189692315,4423306.070604278,4119750.184062969,4389245.119655627,5380595.896018855,4925590.340252213,2594585.946035607,2444662.8752243463,2835381.787720846,2772498.559980506,2561099.828369739,2418670.621470733,2297904.1379182655,2201824.6474175323,2020901.7738483916,1320899.0967627603,1012430.1525703683,1093799.3919946137,1424063.2818402858,2065454.367197698,1297986.144400673,918760.1027893166,791172.8757055862,715090.0827649815,695714.7390824212,791844.5643286308,809754.147313151,771467.4944052822,3517170.8822562145,3027383.7305301735,2503130.468278955,2524688.351642068,2580464.7754605645,2652544.0632469044,2631692.2121802373,2641403.073408531,2691307.9313446656,2717713.7283281693,2695998.90234336,2862018.6033747382,2925043.814244233,2901426.7605272583,3386639.869227736,3327305.7901964122,3173568.765738484,3216223.5444844225,3279002.939555971,3223432.3026780766,2774762.814242932,2540673.322808563,2570539.812920631,2569287.1490283087,2609063.041555321,2429347.7307347544,2409924.1084312163,2449169.7026345045,2352469.2033988843,2008477.002828958,2510523.8896175595,2440835.6170743206,2727149.76353073,1937027.7521719201,3314246.050524586,3476239.6289072037,3380121.3944194093,3963589.268805072,4223611.1030549435,4306004.290770881,4078919.67943995
15,12,10,2205379.1254666825,3208021.290671661,3628917.703736653,3573142.476713908,2942467.9541853694,1985228.2449410462,1709857.8714645645,2636838.079896584,3373144.19849497,3923921.492461255,4052526.86138417,3972808.154634607,4115375.0652496107,3313847.353217585,3340509.2283966057,4634012.76657191,5110967.12611284,4331470.649398271,4163754.9138364946,4056408.070484556,4089226.576850402,4247312.769157073,3896467.527266981,3599929.182423239,3338826.897763133,4341957.921579388,5448019.437745723,4187725.0421012943,3496076.6985232714,2515109.4016451137,2621309.5839358843,2728761.2620814443,3215039.8593186657,4278212.6472735675,4006794.6168804877,3701041.9794230782,3809267.1647778675,3744493.1851199535,3001102.750847743,2447954.6044211923,1967293.7963544964,2116505.32303048,2998576.1492137155,4471190.470897993,5452735.420950192,4983120.94825276,5035941.737703589,3496178.818577769,2653898.61846122,2046379.450695253,2098426.474432326,2251712.8156886864,2357983.6333367866,2451480.4684887487,1966236.7827210524,1581357.255918267,1595057.4509794961,1470123.9800033434,1513133.348792675,1571829.8543007826,2271539.8652695213,2666454.8359533036,2054826.9639911563,1184090.5169423404,990755.9274864639,725787.9432927208,314476.69952836,335802.2364654629,490438.7633251581,3247821.5707980143,3340085.8936279067,2720358.718235079,2272649.667216476,1996260.2483701417,2236883.1014278103,2544943.777089595,2371946.53990145,2242334.9542802484,2180586.7374397153,2161145.88586723,1825145.34352818,1894065.2431947398,1989733.3496579668,2015551.954481803,1790782.1247713123,1657638.6025219425,1644546.0477571352,1674984.2938667857,2077035.1629496166,2761165.6667602137,3020088.658928818,3167409.157210601,3215202.8699409803,3179492.6201819163,3290879.26226146,3257155.992178224,3148023.361147902,3202062.8585956944,3320975.0713935057,2933640.7294747736,3000281.637471958,3312716.816876016,3827135.488215529,4296427.093217468,4258804.656750185,4020431.3546392806,3833486.601799124,3558184.176972764,3326061.6272579115,3302748.5974823995
20,17,15,2896936.9562391005,2932690.655103912,2600637.1021437664,1623645.1899952572,1192787.9018658733,1310366.0356052602,1199236.3804907165,1119906.074369758,834616.8420325355,895453.4841796197,1709988.2118892448,2388465.2856558682,2364832.244927272,3163245.6836217344,3205717.1241222257,3501547.680350036,3979310.027601317,4793418.18528254,4064889.8554574186,3764695.945564605,3231336.184456456,2193098.588826949,1775225.8082513772,1732852.99025784,2311483.497335556,2495873.5531489886,3705040.5173842404,5148034.912702795,5138952.633735288,4852837.586959253,4828880.883929687,5006081.498922658,4508291.101840179,4678196.452212909,3943578.5038157688,3221798.1952830562,2773076.508026367,2656851.1995437928,2351301.413293911,2082007.526055168,2001764.871643178,2219888.2506275587,2932086.1709324666,3523496.1538737835,2729576.3424591776,2129704.6943010483,3430044.437457708,3892007.627790912,3526829.8033677,2985218.400147387,2779160.207131467,2524281.1195951123,2337756.2956157587,2149984.389822051,1700570.3047273047,1216233.5224015291,868861.9507271264,1134459.690639901,985596.1642843739,1041315.2988231012,957274.9448874672,1567534.2293149307,2027270.8967221275,1620163.074782654,769943.822516495,1043040.4527457107,1233047.9480637645,828266.5083794842,523426.31532380776,2328592.209337112,2227378.4104846716,2558128.825556873,2565560.828304997,2290099.5003960584,2339629.913803228,2135330.134717417,2125239.806678488,1910571.0182198524,1737051.0409904085,1651409.2036476834,1517865.6710283807,1456394.455545992,2054418.3451416374,2020999.7080755522,2089897.8719706354,2180514.406105801,2085385.0500533152,2023760.4415098678,1765516.5140057823,1841068.1953084935,1875918.3097690847,2019351.5015042813,1984618.843068189,2086644.819490219,2152354.87148508,2224300.8592605917,2345179.6924004545,3031057.9405768253,2850422.2087614317,2894360.294482753,2731441.6073213746,2480522.9304861883,2320847.097935296,2756746.502500993,2773171.599618485,2932047.671526661,3332038.985288119,3834657.6365734027,4589160.7181616835,5549816.4523286065
25,22,20,2559233.048553368,1775933.9085986954,895051.6844911843,473660.71817297273,243872.8263320896,76671.61442251755,35856.125763971264,42595.080855862114,21302.60475477294,72252.2979951239,113602.6292776815,617790.5567156577,1186615.7153318892,1407510.5999102318,1787220.7858863669,2039769.368165182,1946460.250028443,2324254.403320345,1879991.0038216792,1948320.1528436842,1447005.4080427233,1266889.685964814,665006.4028145479,460794.97326598235,737439.8697566445,1845090.1225987151,1053470.3647323432,2630652.352192503,3730488.8664523503,4496002.508881947,4385583.151174713,4032528.3122314964,3798720.9036847954,3302855.911847116,3503909.784081904,3415114.9877929133,3226554.5869280812,3466986.6204250054,3203808.316556871,3407777.1539103547,3404839.3082372216,2976451.136763416,2249727.4984582975,1315969.049454867,551078.2933071109,279782.75075684674,1342159.5431215824,2870545.87442198,3199878.44840088,3184529.574861275,3082719.473380269,2994281.6257364056,2945194.4990055263,2876239.34647425,2550650.6126958053,2087853.8637686037,1709830.7299076288,1137470.2234367,1094236.2092141358,839155.1946418728,580098.7161196307,649178.5546949967,1038489.2023209328,1991907.0882226736,1345504.1444024574,570419.7353096348,703432.3332676388,1109367.791460096,1323388.3817943526,2373470.1710826093,1598507.6306996746,1393903.3599561807,1734239.2705974386,2152271.3443377744,1803467.6819982,1500747.4191624932,1335001.7909692912,1222988.5102310148,1000404.5029143682,878111.9332507922,624964.2629776384,920294.2867337503,1552046.5864593468,1563942.8222825294,1860110.6174517157,2200426.003510064,2266051.3308816063,2370346.752087092,1810918.4615594097,1498234.3757528402,1338471.7161212391,1099401.6324582032,992139.1537398975,1009514.7427165624,997291.984932848,986539.6673234898,1543712.788527248,1363582.932517706,1391889.6254929884,1052715.3178751455,1250401.6180340578,1626113.3810704376,2042368.4561471958,3240547.570228076,3887589.351137016,4763615.987573763,6021573.191638054,6878806.781192224,7875322.7459927555,8644099.897681845
30,27,25,750593.6743328089,291267.6135118164,109705.5984499382,101147.8676157452,83892.13895456865,83892.13895435234,83892.13895492916,83892.13895485706,75851.53544287111,228239.39108331138,505966.1274143621,848424.0595890378,920883.3225313035,1547327.694954516,2083957.0589313286,2138285.5674825213,2159653.555212209,2267649.4303349787,2158124.197883734,1241378.38512589,869407.428075839,272572.6174433344,3371.0789985391075,38969.40557431454,99745.04086269584,389503.7026701654,1724860.802320406,926929.1978619717,1343717.9104124366,1934072.4993846696,1884682.7381189212,1770241.2484784378,1602653.3365443107,1500303.5197001342,1514787.2746860785,2459080.1147425785,3343857.244490755,3785745.7494833344,4683932.608834822,4676782.040523817,3653385.4991115564,2337582.756651368,1322503.137092304,1130026.78160777,609704.600662823,61146.13625789415,49501.76757272835,1768981.7028514612,2481614.819022852,2821430.5456066956,2964759.325988468,3041811.3530140715,3083465.9281093273,3100153.256356908,3129833.0862536253,3052992.771768622,2610406.5481173396,1907455.6964736886,1950064.0341277565,2072869.4193838472,2133779.817644412,2015494.410927472,1638116.4689607366,1704495.162918323,2458652.792532856,2108435.0841195164,1929277.3288772053,2251928.9030899163,2621075.9129887437,3702774.236819558,3241823.0951540973,2235194.8153504836,1444633.5836089267,1163524.4577248732,1775720.7173981743,2315036.7592310575,2440887.514819335,2295453.4676374234,2030817.5303787275,1754657.4558204964,1883102.3873007232,2288922.9563259096,2653038.510778312,2476792.4979133047,2472205.502267023,2577446.3361781677,2426304.4061206197,2419619.0182220964,2049192.250988954,1385416.0432531075,1687444.2155454073,1962795.137422572,2306037.08857267,2413713.227016719,2418210.667564649,2245791.172519339,2517641.5715544475,2179736.903345078,1858398.602321375,1987260.5326769133,2660032.187875583,3921854.5142603703,4633692.066728851,6124901.459889887,7022524.310205561,7590818.606608562,8106132.861805133,8709767.475618823,8563471.887089197,8127616.090318188
35,32,30,784577.411960255,754300.7077812294,397196.25694753864,87836.51509726279,0.0,0.0,0.0,0.0,290772.8947089799,1053552.0279393126,1053830.399737595,971687.0209339097,993241.0273042168,1080300.9331123095,1229190.1241358733,858153.2890543127,827250.0055972915,899315.0632654991,1165746.0664738445,1119097.9014200256,167046.9599599292,0.0,0.0,0.0,0.0,14158.748464507134,735305.6642973424,1071581.2395967857,561909.9271526407,658371.0291938717,699825.3149649696,726335.9954152327,604109.011350962,1140294.280898101,1924353.6173782144,2950888.858705805,2434827.494563857,2145283.7727473355,2361028.434791982,2169448.905268758,2867817.0331699983,3610834.056564877,3314979.681160584,2240116.0595252817,1101210.5508404395,795980.6306189154,0.0,320229.5648039709,1089592.0672171575,1974972.6017606333,2171816.010705931,2531056.486988147,2653849.7146293055,2727976.46909827,3038823.3682866977,3329723.6429196517,3315126.10941027,3283632.033127214,3250239.1740530753,3234098.984663422,3330430.7228272157,3435202.822245389,3593270.133917643,4312276.521614552,4597257.296445206,5345044.138188554,4826418.502659842,4303574.421989054,4205826.174510344,4725236.852378162,5053910.753009079,5761187.780737116,5446977.84740643,5530440.166761281,3089901.236065098,2861246.5151737155,3249747.4388745623,3447125.338638777,4051214.0160176745,4090936.2360804323,4238995.251353906,4506737.40610642,4837357.465040399,4421262.962847187,3479370.747032584,3132682.1545616454,2950920.0520149004,2722735.8175930446,2987443.948981202,3613159.175002151,3604223.8438973287,3628553.640149545,3470629.681038905,3418355.8565440313,3447358.5088179037,3582645.481636236,3989827.496438115,4144004.09423775,4835393.847238079,5927187.811151954,6726747.022260927,6890321.98849436,7087458.992699214,7867317.907997028,8363346.21387998,8611688.823886026,7870999.676677566,6936386.151126433,5649229.696779589,4857284.618912716
40,37,35,810738.7518657525,773146.2775844655,832301.5535083361,787070.5528055885,525600.8350570651,193694.21430902169,302623.8645187552,505858.732791356,1101189.6835295954,752044.4701741966,440166.21762230946,179851.66425126523,148547.37347865078,194250.04559197114,19954.21590225707,163271.86551240156,236313.69560299363,4273.245166187753,129164.50980892516,775010.0932320544,850384.0973081868,46256.59085372625,0.0,0.0,0.0,61035.49156502433,47108.99687698654,1259234.110262228,1498922.3666712265,810810.31477554,916309.1740759227,1051984.7710761747,1556241.9322855962,1402463.9624530247,847887.2299532534,577038.7158215034,601303.1206182346,767923.1066106027,677316.1135116586,760858.3326229535,1124576.8310678608,1540069.3583627702,2163478.121318298,2817602.3666163394,2977822.3694797917,1618511.6534756813,768223.3736720504,0.0,75916.57695305793,525595.4104085622,759027.069689909,1161365.867709651,1319927.7678608457,1503450.1201217421,2338575.268644701,2957081.2201372376,3573265.1527008014,3693843.636193927,3685130.124951126,3631014.0098731993,3868442.4628719175,4480513.507476331,5643262.819458569,6114426.769187981,6888179.661734118,7063400.198997608,6623620.972196817,6299761.357918819,5805277.987038968,5163913.864565321,4824301.344485362,4666022.881561045,4573937.74355268,5581892.966945852,5278503.137467394,4412840.284666905,4313498.426651683,4867419.172491012,5151145.867789521,5065868.089862073,5897192.555848775,5713051.4853597,6192871.243889209,6443180.033168646,6049078.032630172,5324494.024132733,4902607.262163125,4547233.330945985,4722033.847370167,5407109.345327562,5299986.8656430505,5715830.122771361,5879957.333335137,5962597.539573134,5902096.095526995,6144501.260005679,6846858.164464779,7537879.751634761,8147592.150780877,8391018.496218234,7501778.205581199,6706119.2684328575,6496339.30005024,6406529.736863751,5517154.843005175,4389939.044048763,3348941.863458689,2534604.4998152163,1932427.3874492336,1653143.1165643234
45,42,40,597608.8578184664,777757.325489064,873259.3316264148,1111453.5269839682,1286022.8074363456,1282520.0220033245,1390233.8840391485,1282185.2380459555,707976.944348148,46656.04235224707,26527.939441574366,86163.37767593311,112519.659330419,145014.29215681914,350886.0079364476,306902.8393555531,130780.48814622045,137249.04522909824,28166.11128321173,10502.797706698833,896119.5359255284,736984.1147436433,0.0,0.0,59454.99231481149,0.0,143.3440880387674,222630.21183114804,746677.5643516313,1435622.8050833927,1374113.440693896,1255289.729452487,663594.632072044,285694.11961710255,60366.93285898246,14158.748464236753,73433.96274837587,79866.46299956687,11374.931719073516,5475.874398792686,61691.9085595587,196833.51612431472,820463.9917576273,1520033.6046700766,2462911.7191917994,3637565.754942941,1384979.0610614321,823716.5026175679,620553.7674299941,286003.050765908,265196.93420958635,243406.84724419517,272948.33162086323,329178.10126356245,759069.2133309834,1389802.572533907,2226045.976804934,3170958.2826421894,3326480.0464099715,3508017.0931388484,4111389.39763188,4295932.586691843,4719777.008580025,4474222.18368801,4463229.066796875,4133029.5069186585,4729026.720465443,4748976.513680986,4907495.031876329,4704935.778339155,4150077.3671813738,2839069.274273044,2836723.8290828355,4082967.953238671,5626656.043555997,6458261.524521705,6281514.798726136,6074759.137948263,4597108.314542093,4298206.065718577,4426698.114306406,5056405.9381639175,5102524.299679931,5056437.647720618,4323551.824803418,5175261.775504253,5266240.454162909,5092302.017082771,5773476.337622503,5847820.142648039,5932918.843021405,6646288.373802298,7158742.019097339,7368332.188098586,7302104.985147764,7592510.985382224,7531585.385020949,7490946.506510317,7270393.710174583,7420881.874234254,6936523.941950833,6344435.634961337,5662278.923001337,4528651.704753113,3858156.510910156,3169193.99925979,3103390.641549314,2758194.939347926,2181841.0735399104,1779656.4496161735
50,47,45,265691.02373383974,225340.8108993232,268446.22023833485,351567.79231892386,530947.6476191323,811777.0942535709,652744.2354507479,561059.2190218031,246419.86458663223,412221.2096675683,463078.8237666943,433691.56446675386,423887.7933460171,389468.7999924865,197178.23284370685,133520.770592242,132470.72338873142,133799.2778254891,151197.97021118726,85591.2785056556,144854.42561790618,918253.1688814491,563874.3033388637,29546.64244707077,2835.4632339634763,0.0,0.0,13476.148395240787,63246.115038539,340233.0033943671,279234.3158902476,214861.727977684,104704.147978141,75194.2400291349,62596.43297702992,61035.49156489815,0.0,0.0,0.0,0.0,0.0,0.0,16775.655014022126,428375.6997989206,960602.8758002063,1720281.2895935273,3724284.8079447504,1582475.4530696338,1787703.6480153222,1492797.5483173789,1463097.5620880255,1296176.5179891235,1166184.380380544,1152660.8241876117,1020155.1638219535,1597269.6384405792,2055637.2166730962,3003367.3011052273,3089440.5676487153,3534354.0288261347,4100622.399349684,3971747.386835387,3233410.8181048855,2565375.823347122,2806599.3552271123,3515516.947236424,3711883.8959408524,3148842.482991487,2464135.323701034,1698626.1147604198,3228574.522808022,3787549.123963534,3344746.413594981,4434702.012904617,5613623.11511578,7145418.22534074,6699093.5974188,6066528.16141155,5653435.131426041,4482145.553490985,3350276.805259706,2486042.041389401,2686516.9910951825,2778164.4484955436,2949496.8423719723,3098770.779014468,3140337.458527565,3264933.306216583,4128488.4880166473,5234226.030757686,5261764.317893883,4928379.092805611,4908190.088952054,4997915.822460919,5611324.256642891,5192827.380945468,5482911.797572124,5603645.5189739745,4997921.62840008,4673373.451433022,4146388.452591992,3667016.545316511,3246469.6516028256,2561774.5753926598,2576704.6865829052,2660443.88890283,3033171.2072399557,3276637.0228641923,3588806.618313118,3583050.3847923926
