lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,1211903.6504455658,1066392.2980209752,1042893.5851358022,1299162.9999116196,2065086.843837083,1519056.9125682788,1307958.3105777411,3827119.498619848,3930130.6730252285,3946705.6994956722,4065244.822545858,3949942.1783353593,3156220.0616225074,2162171.9797583884,1497108.5640820789,1178689.0928685907,925968.1461405342,756980.4885922241,476218.01412914396,309282.40736083494,227119.59021412575,864788.3945970973,2395330.0460423226,3423971.4140481455,3508340.516252199,1286138.0829734553,526770.4073537919,10139.715246781094,0.0,0.0,0.0,0.0,0.0,3083234.9959087167,3195195.5600689333,3246789.0740633113,3304749.0262311385,3289355.0027727317,3281807.9183563935,3265327.5444868812,3165074.170193143,2970115.665539794,2475995.421973328,1825526.203782106,2142858.233571981,2538624.9752363265,1517474.9146951148,828733.9771568154,751898.1612248921,683152.934062061,632595.3110892776,576147.8561201955,532576.3480263952,386971.73740528245,132124.74239865708,20126.922702899185,151.17816014012755,0.0,647585.4619672212,692573.4248128333,273025.02803438914,73236.28888944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2313897.8902016687,2529935.962819783,2956188.3877323624,2047618.383263542,3030253.2804274303,2157750.776345687,2884570.999921596,2267874.0439830124,3017518.9413401512,3077767.116044818,3140273.9908071808,3252170.0005901074,3341365.735845469,3302928.9502701885,2743883.146587729,3440794.901204322,3529038.339938636,2756965.0879943287,2708376.739477847,3034399.013805111,2663436.459446742,2590038.2368199048,2822551.468011643,2767071.6956961397,2748069.1080199243,2759465.865522114,2712395.308267687,2583815.7026106827,2454155.9548360566,2384707.3234722163,2935027.8912214404,3049327.1253930246,2697662.276476158,2542694.2780630244,2956379.994021597,2862340.957471669,2757230.3154226663,2617875.3037752695,1808530.1425090246,2447938.954818856,2591889.3768543964
10,7,5,1096656.765304589,1330796.0455058864,1955826.0752296,2412113.2057459406,2241142.566568671,1304078.3806781936,1727538.7678601833,2297937.8370844796,2488003.6795619735,2353032.9170387145,2104639.5285812467,1791983.8155194246,2123678.8477043547,2657444.8774014674,2467151.912864504,1731162.2400368436,1300454.798919242,1052238.482598512,915083.0489075029,1068396.0880030273,1707013.171894191,2199860.4182015127,1898460.3052634264,1945232.1820284673,2159179.053683914,1190029.9440230366,1104108.1229653424,853980.1664763996,516393.83291705267,288896.0991799394,320723.0333477937,406110.0020596004,379156.91951616737,2174568.0523098484,1941203.7165028537,1896356.2123925178,1921269.522047901,1967578.8934967034,2069057.2316751662,2146568.1488908776,2323136.1717616133,2230186.706883263,1941324.3780527592,1691820.7026999465,1838377.7980769079,2191540.6119248746,1520082.2827460703,1300140.3474363624,886704.5650971285,510308.73400621064,410953.24405474175,329293.29276777594,299106.0601253373,193369.2377890008,403279.06871875876,505843.2416768511,258205.90703575202,77093.82530785394,121408.04752573415,134237.3572220169,580109.3289439778,322275.04855770065,26935.775385769786,39013.03841402789,0.6431945002628701,0.0,0.0,0.0,0.0,2827573.380836074,2797209.4456656966,2503130.468278955,2524688.351642068,2580464.7754605645,2652544.0632469044,2631692.2121802373,2641403.073408531,2691307.9313446656,2717713.7283281693,2695998.90234336,2862018.6033747382,2925043.814244233,2901426.7605272583,3386639.869227736,3327305.7901964122,3173568.765738484,3216223.5444844225,3279002.939555971,3223432.3026780766,2774762.814242932,2540673.322808563,2570539.812920631,2569287.1490283087,2609063.041555321,2429347.7307347544,2409924.1084312163,2449169.7026345045,2352469.2033988843,2008477.002828958,2510523.8896175595,2440835.6170743206,2727149.76353073,1933099.350910768,3280866.660254798,3412722.312133285,3286556.375735179,3835097.285557256,4073838.11840332,4151303.5726251896,3915704.099633853
15,12,10,1333838.8823029494,1805991.8774953769,2108525.872194383,2276235.6454104614,1477426.8642862784,937619.9541634764,881531.2438012756,1135852.3355673493,1351918.6961078898,1461884.2163820106,1339486.6741217524,1314592.7622902575,1310840.0862438448,785323.256505348,1446512.6127798792,2219376.0891395877,2225738.465888859,1792763.760863297,1855674.4954739567,2033681.169085874,2189893.1096747336,1880604.4961601472,1719935.4523794707,732615.132719098,552132.9398358987,824924.3588914952,1219826.2907724315,1067806.3693585033,1069097.2374938263,1076110.2736920163,1006152.5271355084,1000913.6529450285,1012618.4745661807,1926504.0520308788,1709757.7704133228,1431212.2670210127,1262763.8304365478,1206545.1346542283,768229.839947665,575764.1255229386,502082.72109370294,764595.1052803455,1343306.7587971217,1623800.1459809942,1525489.675920186,1182833.1025876072,2121469.8166721757,1273458.563995278,1115343.5290783732,1036517.3103700115,1025959.9568293766,993082.2618083204,960281.9683703439,923457.0917561896,362123.03636215825,75825.96000997249,342922.5189288548,506488.36686909123,567738.2179798108,485293.78503553814,493336.24418792286,935805.7546876362,689471.8772209564,369621.18503807095,306075.41024062404,145028.01744947545,3269.9357880738507,38542.50218267898,44364.69316112328,2628673.5064082993,2471271.0589882666,2229814.2579453485,2119404.8091022368,1923012.7752858098,2216544.5862078383,2544943.777089595,2371946.53990145,2240321.50739449,2178401.621211062,2158746.1298363497,1815120.2389158597,1873312.3862967119,1969094.6221618704,1994846.2679875798,1758463.8167608806,1613603.3621526514,1601828.457809165,1632807.7910938635,2060154.904228657,2760317.6681865193,3020088.658928818,3167409.157210601,3215202.8699409803,3179492.6201819163,3290879.26226146,3257155.992178224,3148023.361147902,3202062.8585956944,3320975.0713935057,2933640.7294747736,2962919.5572778415,3188147.1531169307,3678851.212298977,4136795.315352511,4102549.6449356535,3860403.272194215,3652412.196876337,3345518.4819681104,3113836.4504941637,2997256.6032023206
20,17,15,1485519.6058327598,1560009.9299463986,1591498.3003258994,1101572.81467181,758769.0565280885,715327.4394851278,570799.2221676054,440553.08292712696,268856.56554129504,279482.96749935194,546884.5135461896,962066.1031729757,674178.2833753809,699029.7536344287,638528.2775305281,1012825.73524009,1618854.9775150707,2133365.782901182,2060154.1830089344,2036585.7430226037,1738297.4983561756,1350409.8215675266,593756.5164356702,558548.1598332374,232244.56426067365,258999.92433075974,556667.6238408263,1087247.3823592074,1259890.7512636536,1251570.819806291,1313947.7739025215,1374550.9934674837,1369194.27052948,1558033.1501820837,1451273.3583481181,1289665.3934183386,1124998.3471223335,1070256.128319817,1000587.1297882003,832090.175935073,490951.18543779454,216918.74504946175,406908.22962423303,1392153.8885745164,1196757.292600609,835072.5838307743,1125037.6798416781,1577733.9298185217,1451927.3713207475,1282419.5250511488,1229903.176012449,1182816.998236072,1152745.3756031739,1127650.0325560258,1005348.288654081,651505.4501410344,119349.28518657219,84132.14357134912,32926.01346271792,52738.415305830174,22203.94922793975,40505.21312075424,447694.0690055399,310507.3393287026,122837.51232112867,310096.37950091844,364363.77917446144,95944.76592046277,3146.9407082447815,1980239.5578916152,1800149.780481087,1610912.0452026404,1677404.6916355304,1720596.8368846283,1927775.6707671725,1855893.5917698157,1964053.434514311,1767063.657954907,1591180.71335775,1503565.8836837937,1378033.5597223113,1309967.9470052908,1919547.630091913,1896013.5412863404,1960103.0879414575,2046137.7186374338,1952112.5823448617,1890733.8183840397,1637458.5849623275,1719109.783312561,1738052.3257457716,1859184.5211646035,1824367.9725409974,1935902.6551014958,2005011.8456760254,2079401.6667042673,2202122.319787791,2888814.036381334,2682263.393823292,2702584.4896432366,2530436.518054499,2297101.8938613166,2134046.8440714534,2389167.3055455973,2480582.591523709,2616420.526392632,2946756.404401561,3103343.93471695,3398510.813178332,3756771.909261833
25,22,20,1607251.9152508334,1073364.3224446476,508801.05655198835,137251.7388428552,63548.95452665333,37066.65248452507,26405.089052069066,42595.080855862114,21302.60475477294,72252.2979951239,78791.05614215972,117511.82749578613,735390.5664862387,424062.7140459742,566003.1098219733,648669.6621187895,586419.085583786,986341.8721515557,1096594.5398216487,1039600.0558135513,770671.5648871963,631299.1793764416,395552.91691466444,213637.55968491663,378902.35816474014,256158.90572376308,149547.4714402376,437611.42927378236,572868.3536174787,800655.0487183053,814739.5688492504,750703.45167053,815609.0222639717,789204.211825611,1146069.171442083,1377279.3724101672,1355087.669271802,1354981.6500691383,1289098.0332140785,1183265.38394891,1165886.2791177265,1354408.9330871098,1332409.6375285094,627515.2191351128,156614.42636558833,118444.099241884,415617.75673332525,1156242.5156796605,1459289.5269229342,1509769.1499565186,1488073.0002218361,1463919.7098213397,1458053.2365945082,1422743.6738937288,1248392.9563838656,1079941.2227148141,969213.2824595706,458464.7264256912,402074.65574098314,347387.49057156686,148884.8993649287,32669.27056658129,24521.18269948914,433514.97779043793,223515.64212322742,13273.6650235091,99539.6756665791,322261.7297764742,305626.78421388083,1074943.0845683203,901107.5576143912,1025954.907674575,1028802.6930524664,1150586.6267106258,800742.7047277131,616375.0894776417,611186.0291241696,761025.2725559447,793017.6800244387,708459.9085026477,437626.25212716823,591794.694041236,1286582.614138878,1335038.8937205318,1550683.8187888255,1756583.6651086044,1784454.555165419,1836430.362253902,1597357.7510871915,1295639.506231049,1155478.8666573437,946243.9075630433,852760.5985277453,873026.3861781359,858859.1417139105,848634.4366231362,1404409.0231000914,1222547.175547655,1239636.662581907,877866.3883251182,1085636.137378817,1532361.914262856,1877662.0214827063,2373214.8998709857,2732021.579716882,3096408.148519315,3663249.0032755737,4046466.4213719107,4205793.933242112,4194391.620290426
30,27,25,387889.0900535254,257342.55055244203,109705.5984499382,85803.61806457158,83892.13895456865,83892.13895435234,83892.13895492916,83892.13895485706,75851.53544287111,20975.66969378025,0.0,0.0,46977.33748924016,292067.4496790447,400836.5615578807,397914.24907313875,429665.0673252641,555067.4266134781,541813.4587995256,482581.0892445068,350294.58007328544,96978.18052414124,3371.0789985391075,38969.40557431454,99745.04086269584,172571.9627906918,178150.88307203288,121348.12624637339,193122.92726728803,215521.29406091545,174656.9754788757,97465.28532525679,53164.69859157693,10870.190973224413,38768.075076674046,638216.7347437772,956208.6916965877,906025.7314513666,1479573.369154755,1970000.881525755,2140312.2317899317,1763944.1699013533,1108037.8524843059,1030607.6232477498,546202.3774424378,110.64469321229939,719.6790674941993,535331.9856276861,792827.5285614659,1104225.8045505825,1223277.9691832466,1317148.9945104083,1369191.1120024472,1406179.3742804846,1496416.1788973266,1405302.1026548522,1244634.8093128696,1052631.4671481308,1041132.9413616224,1029754.7728320245,964953.5217086214,852727.2544260453,559107.269797126,251642.5480925944,455119.77661633823,344262.5889244061,296720.1369876478,11710.424279920691,114806.34130707254,899916.6747370177,812669.7872425381,661283.1022122379,580873.1114963632,568060.8317695436,971532.6551889,1223133.032905039,1206260.0277864137,1019480.6480092444,900404.0999645931,834991.7043517565,1170206.926963327,1390439.3054885652,1788498.8373944378,1668501.6647036741,1595905.7151229098,1643334.1418840108,1478813.6101879617,1453632.5550686445,1331639.2108199191,1136279.383923963,1271263.042897035,1400805.539510929,1537348.9715428837,1563490.0916175572,1555463.533865551,1493656.1688930534,1811160.1025487203,1586140.783970261,1404984.9389023383,1620412.1784118642,2184696.8960061134,2893707.188296715,3225030.8003389947,3429027.5073726764,3508517.0126119396,3439124.8134039235,3225684.3517704094,3071840.8813265804,3056251.534181882,3061774.4312515645
35,32,30,44548.170320162135,39675.778198189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1865.9219011253806,127239.99548862531,105782.9952224786,144057.01392314833,97197.05619070429,43163.17576439477,24694.11577617712,10306.152006475771,0.0,0.0,0.0,0.0,14158.748464507134,258867.24528669962,144363.1347744282,54499.221735006315,18831.190290907347,3551.757089236842,8199.683477103505,41231.052346474135,111289.56722349134,173437.22710677772,862878.6164084633,818290.2975617202,1168683.7188397192,1221087.8989552336,922737.004959032,1250220.8679672517,1576787.208252803,1570938.86911713,1306268.120558689,1030738.6874343933,759802.2890136404,0.0,38034.12835864358,260572.2963124835,534427.6793565383,602259.0991602684,851126.19372674,925580.213765038,975405.2258746895,1233620.2507889979,1553799.6781989636,1520619.0970660613,1375404.2206716803,1357524.2929872326,1339836.5054291505,1283908.9939540501,1188466.72098989,1105215.8943402574,1396418.2312653908,1407693.2155936523,1533714.752091679,1368177.5721869348,325717.5184142979,313545.6265995155,533922.0380191107,813122.645534381,1295126.5740234428,1369406.504198785,2311397.7560267374,1062796.634667814,1150740.7023190176,1424238.3775380554,1557770.1130809886,2094144.8719835535,2214957.1887057074,2612661.7217377257,3299247.135207855,3625465.522672577,3206849.814085462,2249221.5104161375,1855431.5435981625,1725711.460825351,1533234.3586390782,1842338.2430370364,2227531.265701879,2304834.698031353,2408209.9748175433,2360859.444519082,2338146.7505078753,2360648.208050516,2455041.14463358,2782306.908128776,2815552.498902974,3109675.4841784597,3382895.8489208324,3475164.4426386976,3144998.311002114,2993816.9148680163,2840158.0428282726,2670448.2053211695,2524271.0897551947,2348919.1854026583,2199459.065121468,2001593.6149820308,1739964.1537620663
40,37,35,22363.65402298986,14511.174416805288,14511.17441687739,14511.174416372676,14511.174416661084,17473.430554248633,14511.174416733185,14511.174416444777,10905.725076933097,0.0,0.0,0.0,0.0,0.0,15448.768579199732,74136.86206642685,14511.174416805288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29170.180818196168,217542.53305803527,149119.83993206298,112530.46110373545,123752.49483005556,134995.53517052298,159691.3654159963,207286.9143166481,237116.9418986028,304933.40619042784,413862.82605059294,594063.5960642492,464405.1483932326,440199.2855647755,513375.51390619663,624271.6840811543,902435.8234319694,1069230.1451258434,1575495.1842869408,1383347.0953861643,730986.276715001,0.0,0.0,42174.85038398439,101027.27196294788,341691.34327531746,374104.184231575,438289.5806144477,836752.9956646656,1063286.014530908,1398294.2409448454,1578728.4398480067,1567314.713587776,1565706.5591122336,1592886.4410659373,1884473.2755325818,2336496.457315908,2580316.7935637124,2329851.315848779,2146600.9961262858,1541957.4848895576,355708.4578982906,366144.47480033897,319097.40355252125,317511.15715091943,295428.5265475578,273696.7601307998,1302176.0192889522,1373080.6345484247,1826726.4011923182,1823279.7481078017,2238253.2202885905,2605470.367183959,2322030.0279488293,2991535.863051613,3166538.1214133883,3677054.237731741,3940313.056192821,3762869.2398207095,3258140.5663305055,2966434.9407395506,2853842.636563184,2324856.9533549473,2577565.325015217,2629463.137112962,3169542.217545882,3491577.717865197,2812699.495298901,2750752.074422838,2877240.1440725434,3125764.5084050884,2912273.4456791743,2976733.4428648003,2968467.616314873,2712189.4212659914,2461328.137886071,2148425.2064566067,1733772.4377996058,1428341.5315934205,1222496.3715245211,1015163.5459332187,837690.675123614,683851.6694327248,638113.0957864647
45,42,40,36727.54528187279,44782.799059221536,33250.79521238895,39480.58640927304,46073.324824884054,50659.42338647912,50496.90248829533,39967.96851022025,34627.290541698334,32679.41189411898,23393.732486272875,21722.65115888903,59851.35332185934,74136.86206651699,58688.09348767776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.3440880387674,84343.64761010163,237577.26561178363,205530.12759533437,215344.4700695019,221925.7666185968,231599.6518356856,116683.41080390001,32524.594986114513,14158.748464236753,12398.471183495749,23484.242963995788,11374.931719073516,5475.874398792686,11498.288501062592,21949.906847892045,432490.1466710356,693597.8625848624,1052328.8845873328,1801547.4216208477,1194395.3297776273,774966.7264484778,296909.50947070436,3167.3940710341726,0.0,0.0,0.0,0.0,243426.68541487557,742675.1767823049,1089750.357929444,1460747.499142377,1526752.6600801374,1611021.0594932504,2091487.133310068,2402784.5469121165,2761903.1666076197,2611179.115499701,2633480.035963273,2237871.4389496017,1756770.5049519525,592099.8809849792,131087.69067052437,10110.65369427331,0.0,0.0,0.0,852843.32703376,1822365.400668934,2315206.5507744076,2418033.2489776267,2498494.1064997707,2189745.2164855395,2562092.0961037506,2350863.562338,2264865.051826559,2372304.8571885126,2411073.386863674,1970185.205407464,3171244.0093568126,3357238.0178423487,3255826.2092548255,3621087.0609161537,3439752.191183963,3590803.405970501,3801967.5791822355,3758893.195616079,2410721.1170798517,2361906.2335299826,2283295.1251647486,2113823.6076353216,1988620.9498410672,1801108.3225620575,1622674.925357474,1367845.9557743643,962185.2729405427,820903.6205064638,781055.8845176772,715635.6703387739,816023.9019406815,1185591.0885363189,1132412.4846415336,1032358.6084717222,963958.5220476922
50,47,45,620.5712981454259,14842.88859043608,26633.668614871895,20145.101240528784,13552.36282471949,6779.268768824517,9128.785161488468,19858.66488679162,29048.617279918588,41500.044305504875,50828.17014825953,52414.21090780821,16612.712346170498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13476.148395240787,27068.18870914721,115177.79303121535,91915.31833348871,72004.5348079526,21212.114408114045,14158.74846429083,1560.9414123661031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8516.609693815964,341428.9815338443,454420.0645056494,604558.1898375106,1860415.6112221477,1065574.3789021517,1130901.2532722957,875188.7512171834,876268.3330053667,743831.0118961426,645163.4615835648,673926.7147951222,671293.2411405543,1019099.5395170546,1242322.1895785215,1706358.5285584582,1698248.9888022146,2016033.4965053096,2367173.4893748765,2167153.5998133426,1753720.2197753922,1773929.8222384173,1630615.1438881308,1911992.5068061478,2143216.1551956492,1219873.7051748547,859295.7699004647,254610.61746316947,95116.05334621327,57475.22465226235,502970.4415835157,1141564.9642233716,1755542.6215301838,2332326.3713213718,2195554.0937142977,2022709.2408186789,1883868.7780767598,1817540.8056639456,2182471.945647278,1762439.6795436183,1841008.5122594014,1802146.0278436774,1818509.8626425671,1834899.724491862,1855829.838961622,1943711.053027518,2200743.5998505936,2225595.267656509,2222423.993632544,1563909.3578238662,1519793.9127492076,1026917.1713875068,1058517.2476570106,1039756.2669438719,965414.6844534,1023520.5616842424,797312.9394984106,583013.4933178895,329708.4295123107,272855.3690476606,251737.35937976371,230043.99387678213,202378.90133970254,201725.75631192524,459766.0416964075,542564.1408587242,681233.8555422815,653017.1379433745
