lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
-85,-88,-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.5772426863628,3010.2234510537273,0.0,29243.50201443411,41156.59577157696,34455.681086501,34248.930384019215,3339.406868097225,22694.362323431167,14428.452905481254,2619.6640457539693,1127.2886478374535,2323.3496985166726,5277.638401007731,8185.680095799863,18845.475613893268,10891.515859355084,645.3521878138238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21762.873294429,13206.729493629527,28027.874133479938,19107.04946565798,0.0,45049.75777567142,63192.30486732474,77956.70730136418,57925.87489923557,58403.57221492982,45693.89319543578,6446.679367608307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364.07974165937077,2846.6064348349246,5100.651845849614,19884.370058557943
-80,-83,-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.4282084372069,18736.862155000126,32641.270044368226,32875.516789941685,47890.16131697924,31315.769219458532,12217.982776696808,52176.189661187316,49502.74582929778,53206.38361916793,21860.67289731444,26231.44033385175,43060.50388494499,58844.63313523175,55668.48277073803,61377.56706533208,62859.321214915726,36871.73331194282,40443.31870620075,23704.1255356205,1173.9267889945643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50293.35393859652,57336.275033737,88473.36728420654,99639.9810480343,130834.59123391136,138439.07916281166,129111.8313323739,76312.14510653388,47866.89798727564,38178.01420182269,38079.64255917122,31530.284351633774,56126.54382132967,57758.577327567626,47212.39780706582,17275.966311555923,11444.120632555836,4778.26679890427,4945.16172687401,3495.605121332249,6946.819273151196,18451.655373419668,23677.717247515633,28057.615046248786,29813.595596109502,31184.656492362636,37708.820230426725,40819.817235063565,41667.504057603175,29106.136590776987
-75,-78,-80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8602.487315719392,34211.813823105724,48014.040784604746,45472.44710336572,74400.48374503134,89798.7530006942,41928.93745530562,8775.645144748638,0.0,2994.941068249867,10152.455734420415,44042.05176932762,93068.1649787594,138177.5042214254,117671.22335709559,113717.24795506113,98438.22278945823,84458.0534801157,72059.47462342403,27287.210080083027,52733.47344841648,40144.31730973532,1658.7973718157398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59926.666603718666,63741.3520279432,144966.80734394642,122938.82908232827,66860.52847452051,38449.245609805366,12017.092457358898,28951.872094359635,20386.56037524428,11284.241734999194,38925.548674110236,36124.45703040247,36904.97811144701,34878.62115838171,28395.00749199545,31055.617872650488,52131.04088210826,52759.83326231094,53375.9168402419,51333.8812249343,49164.54961738728,47399.97703308902,35303.04084757475,30376.532693013163,27645.24273349301,26200.072363589006,25224.81658921052,23337.935704142375,21611.475809725038,24530.42693542387,27618.94825409668
-70,-73,-75,0.0,0.0,0.0,0.0,0.0,2059.815150195965,16.320953578933114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.01923325535498,13292.82045909885,36178.73335950971,44539.67221053019,65764.32974342955,53355.24481615666,84131.63865520994,100525.49675073358,86638.22445691013,79792.42394784724,102938.37409584141,82662.1821055841,43740.71805642165,63377.17172536751,78035.47214810229,107841.12168108187,64107.51138638927,10612.360613922026,13453.41869430339,14781.511730417318,16926.175499793597,19169.24343285118,22999.9261017869,42423.56935133913,24076.6576376937,47839.51257336877,36803.60769548397,14311.151969715229,885.5322318905879,1883.4995878174468,9399.00133757082,16286.456483200582,24005.473687115726,29170.99045763851,27356.923464091782,30117.55979047043,29064.172130399067,29458.06060696045,29812.325471265052,8742.92308617626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6755775427541,735.3647498475144,98831.73815171032,115859.55606045706,174142.20453195914,124853.46436956873,108066.18928715537,103497.76384237091,109115.57702909598,81492.55795290605,35532.140737946094,15893.14574605165,27186.23147362999,913.6827490496884,543.5841983654309,16812.96541250014,30547.00674077163,35826.06099746516,34459.989898110085,33451.38191349929,33142.53750570408,33541.347980911494,30447.85976517151,26057.24491151187,28763.657001455907,31712.065025953634,32016.263306014735,30858.771713611633,29765.652331450063,28783.226635847055,27655.225302266866,27857.389235704915,25796.320895977493,19028.20810195003
-65,-68,-70,0.0,0.0,0.0,0.0,10013.071717850684,28021.78843191486,25291.77889355346,16212.772872176518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2138.279269029655,20786.941902946,40118.19648206967,39550.94508732832,78017.62712576869,101279.32677067313,101688.63577682275,83085.62036544147,30233.614323704976,0.0,3203.889338798616,23594.663434583457,71611.58523855775,105181.23863199973,88252.55425861327,66762.28219602871,5009.303956191934,0.0,0.0,0.0,349.6021478427042,2567.5095848528335,6998.744858474671,13024.56495957814,19571.247828924563,33256.281577075926,20873.04992164434,50425.358689045956,62575.46437179395,112840.92555649324,107420.64482908334,101745.41920694582,40068.34405781172,47535.111831454335,28870.929623584045,12288.95397057765,7312.600749829171,44046.77233976986,43383.098665840625,42740.953050756405,0.0,30151.22613010951,6971.045479499043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9753.10899264333,202612.1238764641,198021.0535209969,185698.93889205367,156728.00711587447,131174.09935617459,111435.66502339146,162963.23677015654,198445.32773032962,195443.28697090904,130044.9172745298,112630.34648329663,32676.0059019909,132051.1480642447,36145.03500944819,29067.30415358736,28494.64605469551,17029.710514262333,5501.028865621419,4587.0734236183,11318.479708339304,19413.369957610576,22083.61575639509,25852.019498702553,28750.370409906638,32058.39575083043,29135.08449878538,24265.77675660205,21755.39923321311,19364.224938037773,18128.99727464849,16930.535146375256,11468.44462386442,5509.253867094302,0.0,0.0
-60,-63,-65,0.0,0.0,0.0,18024.217297580773,37352.20167521462,36804.68684477588,33298.11129949123,32430.588440583517,17897.92839422075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.1117202938111,22347.650876433447,33047.32886156371,12195.442140541756,56792.72296279026,67995.89624704549,66601.03232350852,27424.11174749572,1299.3050139258953,0.0,0.0,0.0,0.0,0.0,11435.682163477652,1897.3087559273872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.91197616768383,6771.377946214858,17885.21843988721,18644.810061787655,89117.64853557435,111829.99537697471,297302.574731405,243768.0319336423,313564.56894726725,313287.3406536176,319101.2858362736,265593.14652454876,212350.37932477533,183080.54804127102,156564.95559936008,154303.31213076902,152203.20264236172,117542.21459965546,45940.55694833132,3783.623338148103,25309.26713890411,12093.059963392681,2959.890088811401,0.0,0.0,0.0,0.0,0.0,0.0,6571.634923449495,108638.75220381208,174752.26351219407,77987.16739499319,86748.52079404483,102601.06094642468,104208.63070779158,80527.07678163119,296586.19827817264,406918.6286492395,335444.6976180852,340884.0546830871,252442.91944139134,205080.91067166242,257743.5931824726,246087.97551089898,157617.9107428248,104357.77344880259,96676.93525328397,61042.91355977971,19119.877090404127,57124.42657215672,51451.06130526487,34582.67392708719,8905.31146236824,471.3690000543103,0.0,2629.396042730834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-55,-58,-60,0.0,0.0,26850.621094164988,46794.78924563149,37914.88611038612,17855.504733369864,24696.09164801601,33211.81721085686,32780.512920162735,13384.19492858454,1220.9630991296078,0.0,0.0,1272.5629619114782,0.0,0.0,0.0,0.0,6138.216265543562,21077.915617820294,29585.955685160294,10325.28057420514,50448.818244199254,76029.17662700804,59279.28524644277,1316.9801261198636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.9243684657517,56443.25104159322,275012.28106754186,448470.0149734098,637668.6197338225,643203.5908378499,656039.4327941121,655420.418272257,643361.7107847972,526272.7061473752,397456.3953571848,380490.15384201973,331985.87783592107,323299.89373140136,314793.1043961197,193192.2719113036,179549.007636046,135041.6359290947,31376.5058237673,16191.550316937968,32276.151461551803,31905.01162156326,19358.114207246203,9972.380321101728,1917.0328248316387,13138.008272247549,28469.74786767785,0.0,165523.66471418046,134029.51735628024,113024.26279805039,86809.48590917129,86900.13867698312,226817.82261284968,307363.1281000396,318260.3741544865,323013.34261477087,337432.6315078134,347403.7111562972,417317.76298014336,418386.2911522008,388464.99355761433,393596.8655490489,276373.6700093784,174907.64644436116,169095.5522367076,150169.8185480243,131793.35229281688,120364.29892338754,94847.59351332445,83928.45996429611,43270.54563360926,65040.8337283829,54303.56932948807,30020.177912909327,23758.64799854657,16679.37870732022,3124.8511511618976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-50,-53,-55,10249.087075758775,45643.69765697164,54226.33456658928,23117.462399464544,969.1785025005942,4064.894646941237,0.0,0.0,29900.337822367008,36078.26140712274,36907.32625458514,28863.610214683154,29030.929329473838,30389.274428795896,24476.07511785923,16743.943348469747,15643.87168925252,13947.098361133649,25714.507861057064,28100.849696393,11328.17317243304,29575.72830460717,85966.20636626099,47291.948744958594,0.0,0.0,0.0,0.0,0.0,7616.022213245354,6909.941113591069,5465.431139473237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1616.182182257117,18685.08387839488,276868.8618004802,798381.7369396274,761285.9553571411,598031.9390659276,571055.2733382676,641267.2073362134,638095.3597477701,629652.8300666347,677144.1439589269,597158.4010590357,604584.2327334614,558899.676230867,557093.6797328743,554222.7461329014,371766.7776797582,335465.5574418126,211403.6940768076,218869.29768111397,169924.3083599814,124429.82244405017,82877.16329018596,0.0,0.0,0.0,852.3727571152632,89317.40453585243,142471.78467005127,98616.42094961836,127746.51692953601,338224.30395182583,309163.9198968358,294036.3386753182,322704.5662623993,314708.3643783956,252414.04634725867,525696.945154062,478809.79253598524,455345.4505614464,398691.14637881424,330675.7998686785,366604.3423628391,394476.0032568948,427794.8556238057,352657.69591324957,359259.3198361303,372023.5838706321,368430.64391482086,378382.0286104072,389382.19782718306,346506.84279628785,278009.2221923084,196785.92924269458,166244.59615246425,125604.54828492418,114030.45726381667,99968.06935563001,98036.66669519809,67983.79200872571,39636.56177628877,27099.247317607005,14136.687583954641,2561.2216237004122,0.0,0.0
-45,-48,-50,64081.831092126275,62242.03565042327,52646.649104788215,56708.585379569355,76729.55903904398,108566.52915174486,86284.33586312283,74449.31881412712,35997.004922095075,76184.7752148767,91620.66983919393,85592.90557002633,63157.68736083566,51854.95470525394,34088.52283555344,28069.284338232475,27370.117872683917,27169.69601112181,30175.273909997904,16788.38900854734,14504.814624756391,90368.50554628907,54539.508287833014,0.0,0.0,0.0,0.0,7476.3614302076285,19315.384565702814,88854.89512094394,70658.39909512628,54215.579367831626,13347.87330202088,7079.374232145415,767.0626865978616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0371593861479,4118.330664940262,60264.72685161547,222643.38076550656,876729.5662050733,554006.9536653605,571637.7917516252,439084.3840987744,431774.5031298745,362463.2793975521,309745.8727746598,372627.37473092385,318331.2997309237,482504.93086489517,493387.2794137127,541344.4319130018,527792.3914793285,515431.9268843608,619415.9066952675,493636.57228934264,313631.8322732337,258479.39563649593,179169.0876585962,188281.3751597691,171595.5108145564,188467.13786573068,141999.6522195238,107164.30639708246,159413.4757553904,112104.3188429795,155746.50730417934,422361.0909596951,715119.4346742154,1025233.1381444006,945514.7953615924,858871.373949525,870602.1696642294,720108.4644384792,902273.1421365533,303843.9973841272,437982.08259370684,496706.69955155364,521838.35915173293,551322.9254372192,535204.6177550096,515922.4202104186,859353.9884266099,1029711.8176671988,1028121.0273813715,1032395.7672361371,986956.1477010879,1006960.4318763239,1014263.1180702937,1012767.2974261143,976915.2802567239,905409.9953500131,708879.5471948779,473532.7870821646,218039.04043512302,174907.4741238362,152167.36665243702,87195.16805948842,84047.8008550223,79654.0386705656,75710.5980919963,66380.0956152107,43512.0997015293,23840.690710468036
-40,-43,-45,108323.60240008954,122769.30360000553,130563.84382641914,162286.63056896016,185209.344956007,184063.870336816,195634.9125956457,177687.78341927004,104384.42852319461,23208.189485880797,16152.62765163387,28604.70527348244,49805.057905039386,55023.51281556851,67947.65411197394,38506.05654575859,27020.894009201755,27870.2164712351,5621.240296832439,1070.067477943995,89731.7958686915,72529.18401780791,0.0,0.0,0.0,0.0,80.91518651758237,64161.07427540642,182697.838453118,220466.22809717263,211829.63259388026,201126.64810778873,161378.31176775307,77295.34234564746,19216.0877900421,6838.224756857572,5885.195464941874,0.0,0.0,0.0,2504.3428686310135,8575.68117631687,45739.3741300823,125869.42299067238,413124.90980716597,857537.951837245,541941.6066439172,386160.1112914396,151184.29801157204,15837.983345303584,15591.870097185609,16202.119475537924,16313.852076025454,16317.418234924511,102725.36680815821,86420.15603329673,89467.44841188166,129559.71099902579,126325.52870436883,122586.86146786353,335077.7405317773,470395.86037684913,559313.0066185694,448670.3027024411,370701.55400471657,293149.487410151,289225.93685755326,189649.470910596,172574.151321751,150598.18337774,187944.3071735128,312737.15529190376,311028.48985178786,1101188.083682768,1275320.0050009408,1443430.6347415496,1399489.7894236406,1347831.515332221,1283778.209486708,1570338.7668449634,1017026.5526737423,932573.6916478487,1033479.2589165682,1017165.4253192216,921955.4062089646,830002.950108621,845535.2172925418,846127.5415755659,1037675.1661966817,1276472.4819024452,1271211.8091167074,1571265.9890705643,1610235.8408746726,1572048.325673012,1469181.8539157407,1459539.8779526285,1440275.2098930546,1389514.592289161,1266352.1375447123,1198663.7441047153,998724.4220277391,654512.6865372012,431860.60129478225,243716.23963679373,178611.46110773107,101620.9033312148,69824.32922279117,60407.58235264467,65416.93760458329,68234.52551814142
