lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
-85,-88,-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812.8868688079203,42437.3410802828,61035.491564627766,41156.85173956787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23890.58053238753,35135.81804637007,0.0,183551.8931786928,262841.95193906245,223893.67624477326,226440.31529851304,22464.762115652724,155337.46811973094,100485.58243486645,18563.30658151317,15647.464217381352,32813.24384498651,75840.28640512716,119685.31060893962,280361.8619471004,164864.0298108156,9939.398877330314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41106.49167958643,18222.229992881614,33679.30395039064,23361.048264568162,0.0,57022.02796132,81384.20856501187,102153.95503422472,77232.49237250106,79230.5388051764,63072.07372191216,9054.00580336336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.7209932042324,5184.637216625952,9452.406216446672,37493.35319536817
-80,-83,-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23266.37503335728,55847.71371472943,19497.375419905133,0.0,21726.328820179522,37173.46321939517,0.0,0.0,0.0,0.0,0.0,0.0,7550.821306753919,211249.98977021367,374448.96385618905,376606.9101255658,383132.0001162229,196563.27238847132,78028.76748136322,339041.8806802947,327292.48032104183,357928.45803177817,152501.7474462392,222708.0545648836,442381.83375263016,718676.4529196045,707769.0691683955,841741.4352978125,919085.1946601945,548536.318018541,612187.3747353848,365079.35230679397,18396.283600357143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93513.09567958035,66550.4388678401,161160.31619330702,174231.27398612828,194913.84648789637,188054.89328690144,165386.23459392687,98281.0097911931,62724.46738568717,50902.69582925919,51659.00788343221,43521.79864809028,78826.6368627506,82536.6685208769,68645.5288882674,25557.848771519544,17226.225359134558,7318.192728112413,7706.1897165459595,5542.5205760917515,11207.189038985709,30288.08263279467,39545.9512660821,47680.26923280896,51549.92678398575,54863.10853293075,67500.67900269567,74346.75233742062,77217.22365708738,54881.63095621713
-75,-78,-80,0.0,0.0,0.0,0.0,0.0,0.0,35862.61262939817,24184.26662177849,22808.697631902975,1436.8627964361765,0.0,0.0,12949.282333735815,50587.66480250862,38481.05665277791,4029.5172584176075,0.0,0.0,0.0,25982.8534799648,504.56863712327385,0.0,0.0,0.0,0.0,93685.4993591718,379096.85798105557,541337.4737278312,463444.50040474243,672442.0471846263,939576.0882838074,489506.21147304104,107896.56978203863,0.0,38121.35818381918,128212.9588865465,545128.3731857307,1156195.9719776434,1764153.042676368,1507606.8097024779,1473597.0672483572,1275842.1932274846,1104696.8216411532,994915.9185886836,413044.3800651249,812175.1761103914,629090.5472947997,26448.933902198944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105956.69702878961,72713.82159387376,405447.299011154,282188.87599664094,93325.49237839249,47009.59632942297,14949.403055719602,105512.00428371644,81829.3495433637,14786.795937086195,51899.38255224024,49006.594734141465,50940.58171395307,48985.100758696084,40576.29930396593,45154.01489523526,77122.01072513146,79416.56741204378,81748.31228891722,80412.53269735596,95756.7727755309,94272.62445705167,75752.37181699922,68537.17370699137,64782.51883139671,63104.89877800366,62180.99594146167,59579.09785284814,56023.639991411845,54053.799803870716,52077.43462457681
-70,-73,-75,0.0,0.0,0.0,0.0,24123.901726039425,69274.7521651773,40798.195377612865,39194.51037662023,38813.895146222676,57655.76221433939,51518.02531992164,45197.696338093694,48495.99374779258,10924.89218490358,0.0,0.0,0.0,0.0,0.0,0.0,61035.49156506038,802.362323480283,71386.30093112413,197686.4248298938,296682.54267537274,615886.4811592449,472494.7208280335,810214.5652933344,961668.5813286516,900740.7687790558,946532.6259001256,1243884.7365934318,1016331.648873458,547192.6338714053,806701.6375156883,1010643.2887181357,1421071.6657375735,859540.3164379718,114066.7176348276,96999.19857550497,108437.64817175965,126341.44129479551,146037.78270090205,199399.37342021675,520179.28560086654,356102.8406497451,749679.8342563579,586820.4301739414,232174.85130253606,14617.419333931362,3981.7860874259304,20217.146428917626,35644.333490847064,53456.42671810908,66094.69001515236,63067.90433496018,70645.85341568892,69366.63088966327,71535.65298634126,73661.40500658941,21979.94250347844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.2097242205873,2482.0495673541277,169163.89448049254,129897.8040704268,649520.9404232986,752058.9636576045,645836.8703065765,593207.7502629409,569655.8841061739,450056.7426183818,184283.24543627782,70824.45496834644,115013.82361060171,21599.77330081679,20101.335952166868,41010.25065629691,60704.609821378144,68998.25395017349,67906.90099413693,67290.5793049665,67690.71951677602,69173.54246894631,65250.81044598855,41821.21780019229,59303.46877086348,65629.81059062284,67047.77747837927,66015.45888814189,62980.3545042738,56933.61125642247,50101.13280905482,52012.63991566289,57708.39519999239,53682.023424726736
-65,-68,-70,0.0,0.0,0.0,31809.570083243307,77299.4927264335,112087.15372765945,102935.48560536798,67138.0602910855,0.0,2526.532380343224,10037.68006239127,16656.73462946238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11092.020539871617,150799.34413705114,215446.34983185053,266691.5891227871,617444.7173037012,889695.9519988736,931461.7332017875,768518.7210812077,282943.59167046205,0.0,38049.993929069315,285112.7382681595,880464.5443666431,1315808.2802084014,1123330.027156598,864643.3549202732,66009.88385732149,0.0,0.0,0.0,2564.692664678376,19164.56919003733,53153.626303487086,100647.20370318474,153880.2040440087,367027.0448535908,327095.8202528588,804014.403218742,789817.0754862849,701364.7557266614,609143.516335293,510936.54918540845,334623.03317916987,315347.80237216456,166439.93077019698,59016.38355289392,17152.94745835779,105125.17559645671,105351.07293853853,105605.93993494309,0.0,77125.96695649062,18143.426517322776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28965.878042042223,291707.0707943549,296786.8072870127,282247.9150777054,404807.0843985514,736932.2087153113,829398.3915688411,1561266.4014569083,1477642.6067337703,1387630.6883575318,970156.3599605773,971158.1876670208,621665.4932689246,966887.9106571914,210039.75502512825,130996.42980229417,128248.96345393453,86836.42057093447,37653.95300661,20232.717054520854,18743.302268991207,31032.41936984085,45034.90700897125,53168.855258692,58377.52860509083,64124.280477397326,47713.979116103714,39831.865308499924,36335.34216399496,32906.982899594506,33703.83279664919,37879.190245433114,33795.060949511986,23609.210658779142,13574.988054053678,13574.988054486288
-60,-63,-65,0.0,0.0,26597.672538004186,99608.38345022981,146842.05282966944,147218.74737910353,135520.6081304293,134297.002688287,75411.92157912736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3390.900845820294,115925.2704403608,196229.58250797694,77852.22573907135,597433.4391380268,727788.6656103978,725319.4038034391,303883.17468790687,7609.17554223734,0.0,0.0,0.0,0.0,0.0,143059.40371344474,24150.053380606285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1612942201051,53240.3978086,143081.7475190977,170267.61064210485,561107.7094112051,1199193.792954248,2028678.2778964243,1949453.9531845716,2082831.3024324828,2052007.980014312,2093521.440173945,1690725.5380512262,1202854.265820445,874149.1551501622,626170.1692187252,618214.4852002512,612931.6287673811,411090.9956382293,199349.8157723284,78236.42129794846,110726.80228692046,32584.35285946559,8114.732876745031,0.0,0.0,0.0,0.0,0.0,0.0,20340.064315742125,184479.04110392136,255107.7578907763,384517.828853528,438914.0906158927,505870.2323099666,742130.6804275207,747922.7205832732,2188532.1891336865,2763267.040491873,2649796.2788259233,2687297.0543441754,2397208.744080514,2357876.6997083547,2625087.7064108006,2478952.0233369726,1277213.8576671937,551023.5429913588,507350.0081607342,260151.21168450112,54692.75404057298,226702.9336610678,226284.92863962444,131340.26551251247,35713.68113352855,28127.407979786254,73062.02496911483,114681.8319424281,126922.53960609257,130915.12056664801,106115.01415428754,77369.88613983204,26804.168857072684,730.892157975625,0.0,0.0,0.0,0.0
-55,-58,-60,0.0,14755.673359548258,136428.0934487357,180803.14774694847,149054.12424313882,71422.01893347946,100511.08690465221,137532.1176617259,138118.860194854,57379.29976747899,5325.878803599099,0.0,0.0,5847.163923911478,0.0,0.0,0.0,0.0,30756.500929722464,107460.32540972602,153472.95037867114,54497.1575944535,582616.8760462858,799792.1229602946,634491.113273933,14342.58909468982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26884.123560726686,468005.7207456117,1417384.2752398201,2284530.272412701,3155540.764272103,3305440.510254401,3547525.97470197,3657468.974358939,3658765.201927272,3447854.386629621,2945329.9600010104,2522658.8668358685,2013053.5063774143,1972000.2313633866,1923213.369597556,1373408.6041428566,1253771.5356183432,963091.5082094175,660132.946775921,346609.94117979385,165483.76909556313,88998.62576802287,54943.104006995076,28798.822188985578,5632.888990415109,39278.68358865771,98720.00125319768,76014.48641902354,571225.569598276,837414.5523362303,926873.0869422209,828885.513935516,821560.8319589371,1460446.6796052074,2240018.335440468,2075027.4976213132,1877246.7582924194,2086458.7720954013,2120740.410055543,2446936.6813456314,2528498.678160632,2786659.928253635,2947206.7024982274,2982214.7422554092,1966004.5928563115,1930462.6344930157,1595601.0850930302,1426277.7260107845,1336479.8558004596,1205666.0596198696,1024335.8674602348,628508.923830071,609796.9265300285,437565.43318580097,313560.907218789,311623.9195326534,287157.51721448527,226285.52109631305,195599.9085013506,191344.2824754874,177121.28527097116,137583.31823368295,100801.93679209304,55079.403173216786,2065.56516662564
-50,-53,-55,67196.39612607643,217588.93646644772,205917.37387527325,89319.98705678772,3810.1143836992956,31302.759991517527,0.0,0.0,127183.08987932636,167018.0385390671,184492.72030043334,157077.88092961765,141512.6473737167,139632.43818364522,114428.31892731949,79648.06625281082,75715.96910600232,68683.56891872692,128846.59821706708,143264.94646895584,58763.29220779032,300525.12292317674,888789.3610928335,531054.3235915321,0.0,0.0,0.0,0.0,0.0,14470.60758481794,13119.796304839474,10558.516981708626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34717.46811810889,341805.71168551536,1418437.1205462096,3116825.5490419827,2802584.1550333416,2156292.9156593787,2114827.4565453897,2260367.945493403,2233219.687070192,2217755.983601724,2695986.669155697,3176967.810739994,3615133.103945642,3783567.2584484853,3793642.7526915562,3783157.677245918,3232260.9321802426,2586763.536348782,1968336.029880412,1825209.4167325685,1457808.6387622925,1101434.8974528683,515473.5116970724,27323.01784234373,19909.704193155707,10403.352854596735,85454.94415488317,451876.36979050806,720669.5440034252,935630.1132401875,1103902.1261803356,1833683.9466664852,1863095.814479072,1900297.1646406152,2419309.983709968,2163507.6141983364,1451063.1962513046,634165.1708759466,808762.4256885161,902884.1512866453,1025748.572513271,1292785.9939298818,1422216.8832437526,1534621.189152636,2564314.4316633516,3357138.108090021,3410087.013376462,3447352.128737809,3230449.188620634,3154177.821503007,3024719.792762522,3004390.6967124273,2572517.993521925,1911946.8046930383,1410044.380662187,911326.4328377494,738596.1305479644,538609.2183925902,528667.3188488106,438811.7761650741,339981.34228144464,305207.6924797076,270413.53439551394,217746.37110861266,191563.9787338961,182953.90444912188
-45,-48,-50,265691.02373383974,225340.8108993232,268446.22023833485,351567.79231892386,530947.6476191323,811777.0942535709,652744.2354507479,561059.2190218031,246419.86458663223,412221.2096675683,463078.8237666943,433691.56446675386,423887.7933460171,389468.7999924865,197178.23284370685,133520.770592242,132470.72338873142,133799.2778254891,151197.97021118726,85591.2785056556,144854.42561790618,918253.1688814491,563874.3033388637,29546.64244707077,2835.4632339634763,0.0,0.0,13476.148395240787,63246.115038539,340233.0033943671,279234.3158902476,214861.727977684,104704.147978141,75194.2400291349,62596.43297702992,61035.49156489815,0.0,0.0,0.0,0.0,0.0,0.0,8259.045320206162,86946.7182650763,558216.2438232175,1344773.291324193,3042906.192200286,1419709.3739287294,1643747.6734569184,1377853.0734661366,1356334.900817861,1196568.6436687799,1068179.9510940257,1057016.0288949423,1020155.1638219535,1597123.313852555,1812028.830472511,2284604.56530981,2328829.05210545,2381389.4653467597,2969755.518364244,2837841.523707515,2093673.2619573753,1352040.5434780156,1473848.8502193862,1855717.2556670173,1713253.6016985895,1378565.3930736813,828001.5575984203,515266.4262610568,788697.9991790873,756599.943239121,989720.8690808403,1963882.5774551416,2533616.304988329,3458474.9763993924,3333039.991735305,3180356.064900509,3085890.668623817,2195077.969693735,1371267.5231370626,612169.1961344137,782946.6108952294,870574.4010269468,850653.6389503971,854826.2169032225,886403.4257149649,927601.0831118639,1936794.5250899636,3101495.3256220217,3128521.0215599993,3470207.127882221,3541363.0247665946,3632023.7729696087,3554835.636521387,3729093.5248920415,4025602.062342109,4093033.174519336,3621171.6398528805,2751782.9541170592,2055996.887045931,1543532.5281038906,1154215.775373145,465571.3411020283,429755.0403735597,439226.11075068364,434452.38347580587,402135.46646177967,348592.7100972722,304223.4934163654
-40,-43,-45,597608.8578184664,777757.325489064,873259.3316264148,1111453.5269839682,1286022.8074363456,1282520.0220033245,1390233.8840391485,1282185.2380459555,707976.944348148,46656.04235224707,26527.939441574366,86163.37767593311,112519.659330419,145014.29215681914,350886.0079364476,306902.8393555531,130780.48814622045,137249.04522909824,28166.11128321173,10502.797706698833,896119.5359255284,736984.1147436433,0.0,0.0,59454.99231481149,0.0,143.3440880387674,222630.21183114804,746677.5643516313,1435622.8050833927,1374113.440693896,1255289.729452487,663594.632072044,285694.11961710255,60366.93285898246,14158.748464236753,73433.96274837587,56382.220035571074,0.0,0.0,50193.62005849611,174883.60927642268,428505.24028824357,817309.3204188527,1768162.9691657342,2942229.1316290563,1131552.8628591392,775110.3273216301,620553.7674299941,286003.050765908,265196.93420958635,241467.75026620366,227253.68693165982,213692.78764520964,309070.32185260433,365553.08903334255,369995.58913433267,428899.6615571046,422558.92133168963,412390.9924920149,1294028.773726451,1984188.7185152038,2723651.7051500417,2709239.7656561253,2250461.935104309,1680336.0703533262,2007251.3888992968,1942698.8756689692,1792023.029377019,1471277.2245188013,1421251.1359256392,1752862.0102573158,1936524.0960219617,3190712.0840453682,3734792.892935504,4085026.420709439,3991859.3356247707,3895432.3483991795,2918640.5364845577,2711295.5743560134,2160277.055624188,1983813.1731054694,2124075.9558297643,2132800.8998735305,1968283.177217802,1795283.533504356,1851607.077089569,1875024.5188237643,2234628.4064039625,2797733.3495977498,2846897.7683724808,3385006.4055983345,3836183.5872515836,3978076.3600110477,3880950.4824922737,4177538.095043475,4269716.95213617,4207033.6958912155,4233211.174258986,4531635.228624926,4076279.074562721,3645021.220034322,2916008.2236039606,1887771.7049014475,1058483.6268413246,382847.7932359171,221535.7333978006,269452.38018715195,345217.359286666,394186.8331326973
