age (Ma),ice extent,total,within 10,within 15,within 20,decay36 total,decay36 within 10,decay36 within 15,decay36 within 20,decay120 total,decay120 within 10,decay120 within 15,decay120 within 20,decay36_burial50 total,decay36_burial50 within 10,decay36_burial50 within 15,decay36_burial50 within 20,decay120_burial50 total,decay120_burial50 within 10,decay120_burial50 within 15,decay120_burial50 within 20,decay36_burial100 total,decay36_burial100 within 10,decay36_burial100 within 15,decay36_burial100 within 20,decay120_burial100 total,decay120_burial100 within 10,decay120_burial100 within 15,decay120_burial100 within 20
520,0.0,0.0,0.0,0.0,0.0,298949.5291472752,182955.69693387017,206722.1085108197,268726.27596200205,2402933.696112846,1497751.8754249117,1857849.5121921946,2187463.640648652,231238.5428319709,115245.60787110563,139011.12219551546,201015.2896466978,2312297.4421184603,1409630.658213392,1767213.2581978086,2096827.3866542657,163527.55651666666,47535.51880834109,71300.13588021124,133304.30333139357,2221661.188124074,1321509.4410018716,1676577.0042034222,2006191.1326598793
515,0.0,0.0,0.0,0.0,0.0,271314.9121173547,170870.38332115058,189137.32483103496,240553.44598532564,2327108.4964642804,1546861.1132305372,1843842.7272675142,2118090.4857546506,209818.54055631266,109374.93086749487,127640.95326999297,179057.07442428364,2239021.1974131535,1461529.7094288943,1755755.4282163875,2030003.186703524,148322.16899527065,47879.47841383915,66144.58170895098,117560.70286324166,2150933.898362027,1376198.3056272517,1667668.1291652608,1941915.8876523972
510,0.0,3541602.26434335,3412659.668996938,3541602.26434335,3541602.26434335,3714955.819863634,3498874.2263446115,3641239.6357489615,3682787.87337942,5700166.647506806,4796343.640082992,5263822.369532333,5486946.2134497035,3659103.6748888604,3443023.0825636545,3585387.490774188,3626935.7284046467,5614551.471267393,4713939.767795136,5178207.19329292,5401331.03721029,3603251.529914088,3387171.938782698,3529535.345799415,3571083.5834298735,5528936.29502798,4631535.895507282,5092592.017053507,5315715.860970878
505,0.0,3544522.863522052,3449687.3821060485,3544522.863522052,3544522.863522052,3381834.990291157,3217474.5675699497,3321483.9810128654,3359557.5765770953,5620388.5737486025,4741226.806308104,5267440.251052887,5432245.129681193,3331045.2681992347,3166685.448811029,3270694.258920943,3308767.854485173,5537166.812133152,4660075.124751967,5184218.489437437,5349023.368065743,3280255.546107313,3115896.3300521094,3219904.5368290213,3257978.132393251,5453945.050517702,4578923.443195831,5100996.727821986,5265801.606450292
500,0.0,3544648.3217226947,3429538.7488055965,3544648.3217226947,3544648.3217226947,3071317.4472613684,2905849.3833939284,3021639.058020762,3051968.72742642,5466721.933207249,4521643.842970563,5134857.044310136,5286316.167462284,3025247.227073794,2859779.5824432704,2975568.837833189,3005898.5072388467,5385960.823116182,4442421.441483786,5054095.93421907,5205555.057371218,2979177.006886221,2813709.781492612,2929498.617645615,2959828.2870512726,5305199.7130251145,4363199.039997008,4973334.824128001,5124793.947280149
495,0.0,3539511.893363637,3420913.543017577,3539511.893363637,3539511.893363637,2785704.4463324337,2632224.4198494568,2748892.0853750757,2770405.113764132,5309048.820190949,4265001.224916765,4878893.6199866785,5139533.160665079,2743766.6783380643,2590286.8122950024,2706954.317380706,2728467.345769762,5230352.27992883,4186934.5911607817,4800197.079724559,5060836.620402959,2701828.910343694,2548349.204740547,2665016.5493863355,2686529.5777753918,5151655.73966671,4108867.957404798,4721500.539462438,4982140.080140838
490,0.0,3548058.558299175,3432461.330529269,3548058.558299175,3548058.558299175,2535884.501149596,2396878.965094226,2510706.6220041313,2527993.45705513,5156322.687571005,3965894.60689098,4571195.953275355,4956507.7849078085,2497882.987668979,2358877.459259821,2472705.108523515,2489991.943574514,5080076.393785057,3889680.425803018,4494949.659489406,4880261.49112186,2459881.4741883622,2320875.9534254153,2434703.5950428974,2451990.430093896,5003830.099999108,3813466.2447150564,4418703.365703458,4804015.197335912
485,0.0,3448912.24671501,3385837.9341433025,3443448.2993170745,3448912.24671501,2243165.551948287,2158431.4822037905,2221333.2674098588,2231432.4268095735,4924160.466192878,3736704.5706811734,4284513.112628741,4594635.391780882,2208651.869527181,2123917.799782684,2186819.5849887524,2196918.744388467,4850039.525558,3662583.6300462964,4210392.171993864,4520514.451146005,2174138.187106075,2089404.1173615782,2152305.9025676465,2162405.0619673613,4775918.584923124,3588462.6894114194,4136271.2313589873,4446393.510511128
480,0.0,3543938.5661957166,3305820.4680576376,3488770.546765221,3543938.5661957166,2086562.0856457266,1920023.7631917628,2033114.0797330088,2071528.6392265346,4802253.7284831125,3493047.519782719,3953487.207231842,4346334.4816425685,2055202.7149395687,1891661.1729593344,2001754.709026851,2040169.2685203769,4730288.45953858,3427371.3694677707,3881521.9382873094,4274369.212698036,2023843.3442334116,1863298.5827269063,1970395.3383206935,2008809.8978142194,4658323.190594045,3361695.2191528208,3809556.6693427754,4202403.943753501
475,0.0,3395117.5002886048,2618383.329090024,3385543.025936193,3385543.025936193,1823194.5105428742,1390123.3649662808,1794138.7414266244,1801331.7547470913,4604159.750040796,2770136.51933594,3723286.810121161,4054451.1330136713,1794618.3947879914,1368359.713829908,1765562.6256717416,1772755.6389922085,4534028.743725481,2715298.979000081,3653155.803805846,3984320.126698356,1766042.2790331088,1346596.0626935354,1736986.5099168587,1744179.5232373257,4463897.737410166,2660461.4386642217,3583024.797490531,3914189.1203830414
470,0.0,3542528.665919869,1481460.9786276405,3075035.887476867,3442095.333675989,1722788.5983727977,750445.3664023532,1488750.6763350796,1662027.362694181,4590644.69556754,1794931.4475747095,3392755.2695529247,4000843.7879845724,1696932.5680436352,728854.0612302138,1462894.6460059173,1636171.3323650188,4522768.875776506,1737297.0321693537,3324879.449761891,3932967.9681935385,1671076.537714473,707262.7560580747,1437038.615676755,1610315.3020358565,4454893.055985472,1679662.616763998,3257003.629970858,3865092.1484025056
465,0.0,3417876.954820288,740086.3869313241,2363248.252221984,3333316.7153442064,1513308.1936946695,379083.28804990876,1058910.1893691998,1465025.6449788068,4371036.696028048,1179299.9201826507,2783443.848694889,3828456.4057705877,1489736.4790940306,357853.57482406823,1035338.4747685608,1441453.930378168,4304829.059969524,1119108.4862328882,2717236.2126363637,3762248.7697120626,1466164.7644933918,336623.86159822764,1011766.7601679219,1417882.215777529,4238621.423910999,1058917.0522831257,2651028.5765778385,3696041.1336535374
460,0.0,3550501.4807275184,284424.3870176935,1485817.5303051858,2964323.1111310637,1424105.6131898798,175991.19091021086,633171.3450280603,1192618.396628426,4336488.155563716,819414.9361422199,2037165.6100992267,3452582.5984102627,1402713.69924743,155634.9897693911,611779.4310856103,1171226.482685976,4272195.009722622,757967.8330641636,1972872.4642581327,3388289.452569169,1381321.78530498,135278.7886285713,590387.5171431602,1149834.568743526,4207901.863881528,696520.7299861071,1908579.3184170383,3323996.3067280743
455,15.0,3549954.0737042762,206436.6815656671,1473280.5463655065,2878210.9728852655,1293206.1187970976,135993.17075251846,571765.8139299144,1054272.1949945483,4214688.274773791,870865.0687053592,2076861.8775766857,3320498.271726078,1273801.741941041,116670.60993340338,552361.4370738578,1034867.8181384916,4152323.4520824817,808740.7417170786,2014497.0548853762,3258133.449034768,1254397.3650849843,97348.04911428828,532957.0602178009,1015463.4412824347,4089958.6293911724,746616.4147287981,1952132.232194067,3195768.626343459
450,30.0,3557898.237784452,209685.63339141183,1600714.4490275553,2928137.0976687,1189687.8724736273,137884.2083326229,571843.443617358,987923.3451952634,4109064.5333815394,935869.2225984313,2154747.2787350775,3298652.5694261277,1172014.6397651553,120210.97562415083,554170.2109088859,970250.1124867913,4048318.458696479,875123.147913371,2094001.2040500173,3237906.4947410673,1154341.4070566832,102537.7429156787,536496.9782004138,952576.8797783193,3987572.3840114186,814377.0732283106,2033255.1293649569,3177160.420056007
445,50.0,3557815.6511835735,950586.8155042728,2360656.766062114,3284783.292347825,1080281.2326730876,331809.97657690523,733430.5883165793,997904.9242138157,3990780.5181006524,1422680.3118762078,2634203.266112593,3464074.2900692965,1064303.5649144559,315832.3088182735,717452.9205579476,981927.256455184,3931990.219184796,1363890.0129603513,2575412.9671967365,3405283.99115344,1048325.897155824,299854.64105964167,701475.2527993157,965949.588696552,3873199.9202689384,1305099.7140444943,2516622.66828088,3346493.6922375835
440,10.0,3574375.2766604032,1843319.0472082265,2950611.104880151,3543217.993758243,985322.3490415044,527202.7169330181,818386.8814329314,973422.4040349721,3886491.5944154477,2001002.2567717736,3015929.883639454,3584407.4069050364,970811.138915585,512691.5068070985,803875.671307012,958911.1939090526,3829384.214638314,1943894.8769946396,2958822.5038623204,3527300.027127903,956299.9287896656,498180.2966811791,789364.4611810925,944399.9837831332,3772276.8348611807,1886787.4972175062,2901715.124085187,3470192.6473507695
435,0.0,3556143.7292133127,2749894.6078771926,3535041.3388904105,3556143.7292133127,890697.6312785122,681439.3414631838,879375.6230157502,888800.6305799723,3767594.0124084246,2507838.7935007894,3364148.994412255,3600480.184222903,877518.2833735886,668477.9929248625,866196.2751108265,875621.2826750486,3712108.811513208,2453593.1007790407,3308663.793517038,3544994.9833276863,864338.9354686649,655516.6443865413,853016.9272059028,862441.9347701248,3656623.6106179906,2399347.4080572925,3253178.5926218214,3489509.7824324695
430,0.0,3470754.69726886,3397816.2398216613,3470754.69726886,3470754.69726886,790943.5354158853,746737.6848283575,777741.4005687617,789159.9844883494,3605658.681924438,2835672.622101347,3203944.9707412836,3469592.8717512935,778973.8110952217,739828.0394219512,765771.6999826245,777190.2601676859,3551766.754174616,2805435.909579013,3150276.8185790665,3415700.944001471,767004.0867745581,732918.3940155448,753801.9993964871,765220.5358470222,3497874.8264247924,2775199.197056678,3096608.666416849,3361809.016251648
425,0.0,3475885.3193540606,3264203.8380155447,3430480.935931304,3475885.319354061,719784.0631795013,643406.5525846924,687014.9805742931,708583.6656539866,3511987.6310510845,2725507.5708828587,3084422.337520435,3287495.622177508,708881.7510720929,642895.4892629904,681646.7670172893,698147.6561976214,3459492.5398263917,2723256.731909792,3059824.550251879,3237363.7852215464,697979.4389646845,642384.4259412885,676278.5534602856,687711.6467412562,3406997.4486016985,2721005.8929367242,3035226.7629833217,3187231.9482655837
