Age (Ma),pCO2 probability maximum,lw95%,lw68%,up68%,up95%
0.00,276.01,175.57,230.66,306.39,342.75
0.50,275.73,196.68,239.86,311.40,346.50
1.00,287.21,209.77,250.86,311.94,339.55
1.50,290.03,221.13,259.70,312.23,334.89
2.00,295.99,231.00,265.29,314.39,336.49
2.50,298.02,238.67,267.89,317.59,341.08
3.00,299.35,243.23,269.25,322.59,343.98
3.50,302.99,242.17,269.93,329.05,351.10
4.00,298.33,240.52,269.40,334.42,359.48
4.50,300.00,238.24,268.39,339.29,366.87
5.00,302.58,236.17,267.35,344.64,374.11
5.50,316.98,234.96,265.92,349.27,382.47
6.00,319.11,230.51,264.79,352.16,389.22
6.50,320.22,229.42,264.48,356.24,392.79
7.00,321.30,229.85,262.78,358.05,398.45
7.50,323.48,225.39,259.13,360.20,402.46
8.00,307.94,222.63,256.58,361.04,403.73
8.50,307.34,218.28,252.87,360.70,407.34
9.00,305.75,213.85,250.52,360.32,408.87
9.50,303.88,211.49,247.61,359.37,409.15
10.00,301.66,210.36,246.87,359.98,408.27
10.50,299.40,210.07,247.50,359.55,408.82
11.00,302.28,213.12,248.12,358.64,406.04
11.50,304.17,216.76,250.18,357.74,405.96
12.00,302.62,218.66,253.19,359.47,403.92
12.50,301.76,218.92,254.92,359.25,402.91
13.00,302.03,220.25,259.38,358.25,407.52
13.50,302.88,224.08,262.02,359.12,410.74
14.00,306.53,229.68,265.13,357.06,407.54
14.50,306.58,234.08,269.04,355.88,409.54
15.00,311.09,237.06,269.70,357.00,414.47
15.50,308.28,229.11,267.68,358.30,421.87
16.00,309.27,224.53,266.08,363.11,430.22
16.50,311.35,219.77,265.00,368.76,438.44
17.00,314.57,220.26,265.10,374.53,444.82
17.50,317.72,220.05,266.66,380.59,452.06
18.00,318.43,220.17,266.01,388.60,459.70
18.50,322.31,217.01,266.03,397.34,468.46
19.00,329.95,214.40,269.86,404.83,478.57
19.50,338.28,213.94,274.43,414.46,490.45
20.00,347.04,217.49,279.95,422.64,498.66
20.50,353.00,228.16,288.70,429.83,506.49
21.00,357.73,237.63,298.33,437.29,510.98
21.50,353.38,247.15,310.51,446.34,518.59
22.00,364.28,260.40,321.86,454.70,529.10
22.50,386.96,272.80,331.98,462.18,540.29
23.00,405.42,286.02,344.99,474.38,549.11
23.50,422.13,303.47,361.25,488.40,559.12
24.00,442.57,328.51,385.00,506.86,570.33
24.50,467.05,358.60,408.08,528.43,591.31
25.00,489.12,387.90,435.42,548.60,607.34
25.50,497.88,415.22,461.14,569.30,630.57
26.00,518.95,436.68,479.12,591.03,643.63
26.50,542.70,457.56,500.63,611.45,656.62
27.00,571.25,481.54,522.39,627.99,674.91
27.50,595.24,500.20,542.72,646.24,688.06
28.00,611.44,519.91,563.80,665.03,700.91
28.50,631.02,544.71,585.59,685.24,721.15
29.00,648.54,565.33,604.81,704.78,743.45
29.50,673.59,582.29,627.39,725.07,765.13
30.00,693.51,603.98,653.53,747.99,788.62
30.50,740.87,618.98,681.94,776.34,811.70
31.00,763.85,648.94,715.15,808.26,843.21
31.50,803.95,674.06,744.90,843.08,878.38
32.00,836.26,683.51,771.30,875.06,910.54
32.50,857.90,697.98,791.05,901.10,941.29
33.00,867.91,710.92,805.54,921.48,961.92
33.50,881.50,715.27,818.84,933.16,978.54
34.00,896.72,719.93,826.75,946.87,994.34
34.50,893.53,723.34,829.23,959.32,1007.08
35.00,904.18,720.35,830.10,970.63,1022.24
35.50,904.32,717.23,823.25,978.77,1033.95
36.00,900.70,713.73,818.20,982.33,1041.37
36.50,894.77,711.53,816.78,979.18,1041.52
37.00,894.98,702.62,806.28,968.87,1036.56
37.50,886.26,682.12,788.26,956.68,1026.00
38.00,860.04,661.23,766.04,941.31,1023.32
38.50,841.87,644.43,748.01,929.05,1017.70
39.00,814.58,635.52,729.61,918.84,1013.60
39.50,795.57,629.58,717.33,911.62,1003.63
40.00,768.22,612.93,705.63,902.09,993.77
40.50,794.57,602.51,688.03,886.57,984.13
41.00,766.13,579.28,670.21,872.88,972.06
41.50,749.27,562.03,648.90,862.35,965.56
42.00,736.23,539.59,629.20,854.20,971.60
42.50,717.84,523.53,619.08,852.77,970.64
43.00,723.59,525.91,615.82,848.16,970.61
43.50,701.63,527.21,619.53,852.40,971.71
44.00,732.40,542.41,630.32,868.92,968.01
44.50,751.41,541.66,638.70,885.17,985.20
45.00,768.61,551.06,653.13,901.49,1018.71
45.50,777.06,562.63,660.32,916.33,1043.38
46.00,790.45,569.43,667.68,930.55,1063.15
46.50,802.80,585.15,676.88,943.16,1082.27
47.00,817.34,600.90,699.16,957.37,1102.89
47.50,833.98,618.94,718.15,976.71,1132.09
48.00,811.38,630.38,729.26,995.94,1157.94
48.50,850.04,621.90,735.90,1008.83,1178.64
49.00,853.41,616.66,737.07,1013.80,1182.50
49.50,843.32,610.74,730.71,1006.08,1177.26
50.00,827.61,606.32,721.64,990.28,1142.74
50.50,812.64,607.08,707.62,966.93,1109.20
51.00,786.20,598.11,690.28,936.49,1071.27
51.50,755.57,589.50,666.86,906.49,1027.97
52.00,730.23,577.26,651.47,876.45,991.29
52.50,744.05,565.27,635.32,851.24,948.55
53.00,726.72,545.85,616.66,822.59,907.31
53.50,701.62,532.41,598.55,788.75,864.23
54.00,669.94,511.60,577.65,750.58,821.90
54.50,636.54,491.47,549.86,714.64,783.75
55.00,604.41,465.99,520.81,683.84,755.91
55.50,577.47,434.67,494.75,657.57,729.60
56.00,565.49,413.54,471.81,632.80,700.59
56.50,535.85,389.45,448.53,601.93,666.96
57.00,497.39,365.14,421.78,568.99,624.82
57.50,455.74,343.02,394.21,532.60,590.95
58.00,417.94,319.90,365.71,499.64,568.05
58.50,390.44,294.35,339.63,468.40,549.99
59.00,380.40,273.13,314.76,444.76,533.35
59.50,364.39,256.71,296.78,426.63,525.41
60.00,350.14,246.23,285.29,410.82,512.76
60.50,336.38,238.17,279.35,396.07,496.16
61.00,328.65,233.40,273.03,381.65,485.98
61.50,315.58,230.18,267.05,372.95,476.64
62.00,309.78,223.70,260.70,366.14,470.60
62.50,304.22,213.93,253.86,357.68,461.90
63.00,288.17,203.81,245.20,346.55,451.87
63.50,275.40,189.43,235.27,334.28,436.36
64.00,261.70,181.50,222.44,321.19,425.99
64.50,256.67,167.10,207.67,308.41,418.33
65.00,244.44,153.52,194.12,298.78,423.89
65.50,235.40,146.09,187.16,292.07,421.65
66.00,228.84,147.25,185.52,291.01,420.50
66.50,238.80,149.51,190.88,293.66,416.01
67.00,247.76,153.69,193.38,298.83,406.00
67.50,245.15,151.74,193.86,310.75,417.62
68.00,244.28,150.10,195.93,325.21,445.41
68.50,247.71,146.11,197.46,341.89,466.63
69.00,261.65,146.36,203.58,359.43,483.28
69.50,278.05,150.05,214.52,380.68,504.84
70.00,304.07,152.01,224.47,406.79,537.55
70.50,334.70,147.28,236.96,435.20,585.21
71.00,345.49,141.22,246.40,469.69,633.67
71.50,355.69,136.67,259.75,511.63,674.63
72.00,369.23,134.42,272.51,548.94,712.36
72.50,397.26,155.84,285.97,575.94,752.40
73.00,435.21,162.71,305.91,599.19,781.54
73.50,454.20,183.39,330.51,634.55,818.85
74.00,487.96,198.34,346.51,678.57,873.89
74.50,515.38,212.31,365.34,717.03,936.12
75.00,559.27,228.82,379.27,752.62,995.67
75.50,584.05,249.26,391.77,783.81,1012.84
76.00,611.01,268.11,411.19,817.16,1043.55
76.50,624.52,270.48,425.91,847.10,1079.28
77.00,649.32,277.60,440.40,883.05,1149.12
77.50,680.95,288.62,455.92,927.87,1182.12
78.00,714.54,277.58,460.81,977.26,1226.30
78.50,696.89,265.66,467.73,1002.85,1274.43
79.00,692.48,264.81,477.78,1021.46,1314.89
79.50,685.23,275.67,478.63,1043.25,1344.54
80.00,675.53,284.87,483.95,1055.92,1358.22
